model,strategy,kind,combo_set,combo_id,snr,metric,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y
tcn,electrode,bandpass,heldout,RA_LA_V1_V6,0,macro_auroc,-0.020983455858944143,0.010732576384205371,-0.023457491249904795,-0.018677420860508675,0.01984895915755087,0.013127559972685655,0.01737507515683941,0.02242274824147782,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V1,20,macro_auroc,-7.16602592975013e-05,0.00010417767766577801,-0.0002782971380296262,0.00012601464103505314,-0.0008065238543006226,0.0005080125876141942,-0.0014419774721219686,-0.0001340555803378426,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V1,15,macro_auroc,-0.00028541187992854323,0.00028954035388239455,-0.0006659126980585323,9.304868528441969e-05,-0.0006538518199760368,0.0005623944934335425,-0.001328750145299376,4.898365160961666e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V1,10,macro_auroc,-0.0012725367658972474,0.0009757357673652159,-0.002007136747118094,-0.0005674301717433366,0.00017512697673887078,0.0006372873115668468,-0.0006328038283181897,0.0009868803313312926,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V1,5,macro_auroc,-0.005326711858237054,0.003525692547646804,-0.006663748678008403,-0.004020361826042849,0.0035545652334279198,0.002448786719837168,0.0023966037661829085,0.004762665447163803,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V1,0,macro_auroc,-0.02053997566401613,0.013166026595000052,-0.02313599391769633,-0.01802330100877073,0.013746663816366734,0.009546154301494799,0.011777477734033877,0.015850990235679138,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V2_V5,20,macro_auroc,-6.760364870030954e-05,8.28757445391141e-05,-0.00025585828491890393,0.0001127809919963412,-0.0007976263715475218,0.0004986958598756321,-0.0014307152772053229,-0.0001332384007209498,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V2_V5,15,macro_auroc,-0.0002447468203065295,0.0002374697221380847,-0.0005982954076690205,9.858050789830927e-05,-0.0006839078765666917,0.000565040041308659,-0.0013435402666458274,1.3470020255898089e-05,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V2_V5,10,macro_auroc,-0.001044558764486414,0.0008309700888451968,-0.0017216748652629553,-0.0004120877608785529,-2.4644975576948446e-05,0.0006661139415873657,-0.0007955542620760946,0.0007464842876555789,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V2_V5,5,macro_auroc,-0.004211533968249715,0.002850129790901414,-0.005419547560637948,-0.003029808702710585,0.0025736662647714236,0.0017516647058277378,0.0015165549669088553,0.00364930628665416,5,2000,0,0
tcn,electrode,bandpass,heldout,RA_V2_V5,0,macro_auroc,-0.016742478326643308,0.01054716682550824,-0.019090669221644867,-0.01443773916127817,0.010598894635550948,0.0062358920543101595,0.00890457432712535,0.012437633713729144,5,2000,0,0
tcn,electrode,bandpass,train,LA_LL,20,macro_auroc,-7.419378156678925e-05,0.00019691083819868937,-0.00029601564837177907,0.00015257455569177457,-0.000860666597774773,0.0005990583644019368,-0.0015044975897064293,-0.00018586263781150716,5,2000,0,0
tcn,electrode,bandpass,train,LA_LL,15,macro_auroc,-0.00042339863085756325,0.00022759010321931573,-0.0008628875866926044,1.1435339998600022e-05,-0.0005974041845458577,0.0006994481228933966,-0.001320156326130567,0.000143213796087006,5,2000,0,0
tcn,electrode,bandpass,train,LA_LL,10,macro_auroc,-0.0022195334774905095,0.0005078067065140659,-0.003083495783896745,-0.0013957610074840437,0.0012317938719496712,0.0009960141998327156,0.00016189928902836213,0.0022813965447063722,5,2000,0,0
tcn,electrode,bandpass,train,LA_LL,5,macro_auroc,-0.009878083981027585,0.004378406406345192,-0.011533345797445265,-0.008293474867998094,0.009440898381824003,0.005877892949268117,0.0076208059204831485,0.01132676762202413,5,2000,0,0
tcn,electrode,bandpass,train,LA_LL,0,macro_auroc,-0.03314103397998547,0.017167903219960475,-0.036504452131273325,-0.03006311499109485,0.032993288250840025,0.021136940347682133,0.02993124853402382,0.03619184033399111,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA,20,macro_auroc,-8.950102734128773e-05,5.741343247399314e-05,-0.00030031808634403744,0.00011426699748554924,-0.0007932361870932825,0.0005335224721883808,-0.0014214856721657503,-0.00012995767198428364,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA,15,macro_auroc,-0.00037055201661850834,0.00015783244193132764,-0.0007891143898006892,3.732095947959238e-05,-0.0005733466019436806,0.0006188943595544016,-0.001263727084316078,0.000143259602658165,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA,10,macro_auroc,-0.001721756742365721,0.0008361540000197006,-0.0025008102620256976,-0.0009373379932396299,0.0007052554047973115,0.0005345737015302515,-0.0002090716391415387,0.0016068427932571295,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA,5,macro_auroc,-0.007306451265333203,0.0038001748022007194,-0.0088461535028001,-0.0058588287434954795,0.006026887383231183,0.0033156438808667177,0.004583305211425499,0.007526729824968117,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA,0,macro_auroc,-0.027367096235389732,0.012942652986644279,-0.030266789702262563,-0.024721953910842642,0.022653078370267532,0.01350338270645997,0.020027621861393338,0.025390101001091885,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA_LL,20,macro_auroc,-4.139953117661132e-05,0.00010520544423782206,-0.00026383236043097,0.00016971224226432533,-0.0008370642247634396,0.0005560223550673796,-0.0014755217457925601,-0.00016437189605028965,5,2000,0,0
