model,strategy,kind,combo_set,combo_id,snr,metric,seed,x,y,baseline_electrode_auroc,baseline_independent_rms_auroc,strategy_electrode_auroc
resnet,electrode,bandpass,train,V5,5,macro_auroc,17,0.0010857744600811792,0.017710245568822947,0.8812719154542636,0.8801861409941825,0.8989821610230866
resnet,electrode,bandpass,train,V5,5,macro_auroc,29,-0.0009015511304355517,0.006978860329796777,0.8871433173796157,0.8880448685100513,0.8941221777094125
resnet,electrode,bandpass,train,V5,5,macro_auroc,43,-8.748047020790128e-05,0.015885779513991838,0.8838688633512308,0.8839563438214387,0.8997546428652227
resnet,electrode,bandpass,train,V5,5,macro_auroc,101,-0.001411346969802385,0.009661967427473273,0.8875214730967068,0.8889328200665092,0.8971834405241801
resnet,electrode,bandpass,train,V5,5,macro_auroc,202,0.000752655324074758,0.020929669627833714,0.8774016063709066,0.8766489510468318,0.8983312759987403
resnet,electrode,bandpass,train,V5,0,macro_auroc,17,0.0011438716721237085,0.03590835443851559,0.8370830450996808,0.8359391734275571,0.8729913995381964
resnet,electrode,bandpass,train,V5,0,macro_auroc,29,-6.604748693006535e-05,0.01676229594687828,0.8522739189866094,0.8523399664735395,0.8690362149334877
resnet,electrode,bandpass,train,V5,0,macro_auroc,43,-8.405510148468132e-05,0.03756302730006744,0.8373290887382383,0.837413143839723,0.8748921160383057
resnet,electrode,bandpass,train,V5,0,macro_auroc,101,-0.003878286873524761,0.03782541283809515,0.8254690335502224,0.8293473204237471,0.8632944463883175
resnet,electrode,bandpass,train,V5,0,macro_auroc,202,-0.0007470405477042474,0.07447353741068319,0.7999813822979129,0.8007284228456172,0.8744549197085961
resnet,electrode,bandpass,train,V6,20,macro_auroc,17,-0.0003985735064617746,0.004618501579897294,0.9051539979358031,0.9055525714422649,0.9097724995157004
resnet,electrode,bandpass,train,V6,20,macro_auroc,29,0.00011465653451714353,0.0009115501314908014,0.9071750533636063,0.9070603968290891,0.9080866034950971
resnet,electrode,bandpass,train,V6,20,macro_auroc,43,0.00017419143857944075,0.0014940200269245585,0.9082516302516875,0.9080774388131081,0.9097456502786121
resnet,electrode,bandpass,train,V6,20,macro_auroc,101,-2.461482028159878e-05,0.0002038558352572828,0.9082681428897066,0.9082927577099882,0.9084719987249639
resnet,electrode,bandpass,train,V6,20,macro_auroc,202,0.0001309808350774544,0.005258194056822707,0.9037877307456782,0.9036567499106007,0.9090459248025009
resnet,electrode,bandpass,train,V6,15,macro_auroc,17,-0.0005884701677894011,0.007332372095052664,0.9019404902558561,0.9025289604236455,0.9092728623509088
resnet,electrode,bandpass,train,V6,15,macro_auroc,29,0.00022833607512684484,0.0013334712645260982,0.9056397817566351,0.9054114456815082,0.9069732530211612
resnet,electrode,bandpass,train,V6,15,macro_auroc,43,9.661706936492376e-05,0.00229702919354835,0.9069652559793722,0.9068686389100072,0.9092622851729205
resnet,electrode,bandpass,train,V6,15,macro_auroc,101,6.341456909153553e-05,0.00022364527672580348,0.9077712485827556,0.9077078340136641,0.9079948938594814
resnet,electrode,bandpass,train,V6,15,macro_auroc,202,0.00026116891132998976,0.005441781907960852,0.9029906597064853,0.9027294907951553,0.9084324416144461
resnet,electrode,bandpass,train,V6,10,macro_auroc,17,-0.0006878814450571591,0.013433715222262888,0.8934948349985247,0.8941827164435818,0.9069285502207876
resnet,electrode,bandpass,train,V6,10,macro_auroc,29,0.00020474727202091092,0.0028668949575699765,0.9009506488008547,0.9007459015288338,0.9038175437584247
resnet,electrode,bandpass,train,V6,10,macro_auroc,43,-0.00011950676719718611,0.0046964978321939466,0.9027510744739159,0.9028705812411131,0.9074475723061098
resnet,electrode,bandpass,train,V6,10,macro_auroc,101,9.669037822845894e-06,0.0013556814280276663,0.9048495159303132,0.9048398468924903,0.9062051973583408
resnet,electrode,bandpass,train,V6,10,macro_auroc,202,0.0003693094297867461,0.006922976007913029,0.8997597847420129,0.8993904753122262,0.9066827607499259
resnet,electrode,bandpass,train,V6,5,macro_auroc,17,-0.0008512313138637762,0.024583991042174347,0.8733173578176038,0.8741685891314676,0.8979013488597781
resnet,electrode,bandpass,train,V6,5,macro_auroc,29,2.5332111725062667e-05,0.00755681734110214,0.8878852840747994,0.8878599519630743,0.8954421014159015
resnet,electrode,bandpass,train,V6,5,macro_auroc,43,0.00022707256165366285,0.00965013441767859,0.8915122416459674,0.8912851690843138,0.901162376063646
resnet,electrode,bandpass,train,V6,5,macro_auroc,101,-0.0006685898395411005,0.007117794545491107,0.8931710403271088,0.8938396301666499,0.9002888348725999
resnet,electrode,bandpass,train,V6,5,macro_auroc,202,0.0007331101967735787,0.013839638131850962,0.8873290361002611,0.8865959259034876,0.9011686742321121
resnet,electrode,bandpass,train,V6,0,macro_auroc,17,-0.00037200052159036545,0.041972697079730836,0.8246997518207465,0.8250717523423369,0.8666724489004773
resnet,electrode,bandpass,train,V6,0,macro_auroc,29,0.0006961172497825796,0.026761423956447872,0.8419021579387482,0.8412060406889657,0.8686635818951961
resnet,electrode,bandpass,train,V6,0,macro_auroc,43,0.002328224975675086,0.020412124582317892,0.860604435068305,0.8582762100926299,0.8810165596506229
resnet,electrode,bandpass,train,V6,0,macro_auroc,101,-0.0008700366322657027,0.02415315954930619,0.8553818489527106,0.8562518855849763,0.8795350085020168
resnet,electrode,bandpass,train,V6,0,macro_auroc,202,-0.00045892894439969467,0.04348740106885429,0.8362491901054611,0.8367081190498608,0.8797365911743154
resnet,electrode,bw,all,all,20,macro_auroc,17,0.00011980279873691213,0.0029912499089238542,0.9066612879359548,0.9065414851372179,0.9096525378448787
resnet,electrode,bw,all,all,20,macro_auroc,29,-3.565857622933599e-05,0.0008212137742291681,0.9076279345354374,0.9076635931116668,0.9084491483096666
resnet,electrode,bw,all,all,20,macro_auroc,43,-0.00017506659977550854,0.0014080273408081379,0.9083491133914203,0.9085241799911958,0.9097571407322285
resnet,electrode,bw,all,all,20,macro_auroc,101,7.229708631995013e-05,-0.00014333821829803917,0.9085820166977235,0.9085097196114036,0.9084386784794255
resnet,electrode,bw,all,all,20,macro_auroc,202,-2.9813259136313164e-05,0.005648294920633012,0.9037998862028743,0.9038296994620106,0.9094481811235073
resnet,electrode,bw,all,all,10,macro_auroc,17,-6.887976522307326e-05,0.0037002906734240337,0.9040328333493314,0.9041017131145545,0.9077331240227554
resnet,electrode,bw,all,all,10,macro_auroc,29,-0.00035028318561758365,0.0002754620227859439,0.9057384584419168,0.9060887416275344,0.9060139204647027
