model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_auroc,0.0008904990117793258,-0.007535540090371449,0.0093165381139301,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_ap,0.0011667666256931868,-0.011099671941750924,0.013433205193137296,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_f1,-0.0026674136633532872,-0.014299481254262352,0.008964653927555776,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,loss,0.028266740037273697,0.018834387302610296,0.03789080706876024,9.999000099990002e-05,,0.18963688377866733,896,1000,3,patient,6182868480951809085,2000,3590146506909175781,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.028289494368138386,0.6930803571428571,0.028077490458347298,0.027970865278359288
resnet,bandpass,10,all,noisy_minus_clean,covariance,mean_probability,0.008401610747738,0.007049604698677044,0.009855039207893202,9.999000099990002e-05,,0.3810466455256088,896,1000,3,patient,14714447112379209385,2000,5617513590871676080,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.002770743716973812,0.6160714285714286,0.0077028128585246635,0.0052523743347463936
resnet,bandpass,10,all,noisy_minus_clean,covariance,probability_shift,0.06763365879399859,0.065049102074386,0.070293031653647,9.999000099990002e-05,,1.7242715890083946,896,1000,3,patient,8557479593177255100,2000,13721382601040759471,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.06220025826866428,1.0,0.06617422094452151,0.06228236999727913
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_auroc,-0.007854508438793687,-0.01957096025806191,0.003861943380474537,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_ap,-0.01397756847372992,-0.02828270825031233,0.0003275713028524901,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_f1,-0.009246690303072755,-0.02692740107468048,0.00843402046853497,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,loss,0.028751916017154305,0.019558095748656492,0.0382784053686124,9.999000099990002e-05,,0.199339276051042,896,1000,3,patient,17980101026127145131,2000,18137171877711103726,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.02793488948967531,0.6741071428571429,0.03165314470484917,0.028787094208728718
resnet,bandpass,10,all,noisy_minus_clean,electrode,mean_probability,0.008310378054104945,0.006999248480490788,0.009567942864567509,9.999000099990002e-05,,0.40419859721470913,896,1000,3,patient,7763515610998378427,2000,12670238981889800173,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0030084723994756738,0.6194196428571429,0.0077492719950215455,0.005656822173365319
resnet,bandpass,10,all,noisy_minus_clean,electrode,probability_shift,0.0671158293343839,0.06459057357307621,0.06978837104979765,9.999000099990002e-05,,1.7266331285396852,896,1000,3,patient,10977617648905230348,2000,405532446439730179,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.06111184460411702,1.0,0.06567573937478759,0.061755467184019225
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_auroc,-0.008745007450573014,-0.020812612810855276,0.003322597909709249,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_ap,-0.015144335099423109,-0.028812513377808786,-0.0014761568210374318,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_f1,-0.006579276639719467,-0.014134483960924746,0.0009759306814858121,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,loss,0.02354619944917736,0.014543535994915655,0.03232065342499987,9.999000099990002e-05,,0.17465879412233054,896,1000,3,patient,15438232831473961242,2000,17227347157560735744,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.02300765098986477,0.6808035714285714,0.02478210280527475,0.023427192700092744
resnet,bandpass,10,all,noisy_minus_clean,independent,mean_probability,0.0078076150207108,0.006501443116645358,0.009035336412237078,9.999000099990002e-05,,0.3959265875997195,896,1000,3,patient,3413421446881119596,2000,2859748805791113782,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0033034301906203238,0.6294642857142857,0.007225271904391751,0.005630848879893128
resnet,bandpass,10,all,noisy_minus_clean,independent,probability_shift,0.0624290142072959,0.05990201590444834,0.06488675006906626,9.999000099990002e-05,,1.7064452108010306,896,1000,3,patient,7311423971849059937,2000,10875391796516351196,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.05748982242463777,1.0,0.061009967630638345,0.057394125055292046
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_auroc,-0.005594318376795508,-0.01271237233561853,0.0015237355820275147,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_ap,-0.01361497698934159,-0.019339887739168626,-0.007890066239514555,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_f1,-0.007833087001169803,-0.01640671192738792,0.0007405379250483152,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,loss,0.023222034493537016,0.013935598735795737,0.032127182464123806,9.999000099990002e-05,,0.1711999503677172,896,1000,3,patient,14624373519830502243,2000,16120020434795983421,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.023142452257330942,0.6796875,0.024468791138353877,0.023092348061706472
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,mean_probability,0.007910633324549114,0.006589358468841938,0.009285477207831199,9.999000099990002e-05,,0.39751879005087415,896,1000,3,patient,16100585899072978114,2000,13968708390862547644,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.003319487542224427,0.6350446428571429,0.007334645776231376,0.005741175176733161
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,probability_shift,0.06271228315554626,0.060280982818261976,0.06506168207518288,9.999000099990002e-05,,1.7050071802151152,896,1000,3,patient,4865160732120399914,2000,1077342474534312152,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.05842894608698164,1.0,0.06130657821665439,0.057643748156420815
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_auroc,-0.005333644587329545,-0.013057828344246142,0.0023905391695870533,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_ap,-0.013609398502359057,-0.021073182321261902,-0.006145614683456213,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_f1,-0.008717398006207114,-0.019207198740706748,0.0017724027282925194,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
