model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,0,electrode,all,auroc_CD,0.8635741678171499,0.7134591194968554,0.15011504832029454,0.8261700570542013
resnet,17,bandpass,0,electrode,all,auroc_HYP,0.8456733387799564,0.7872242647058822,0.05844907407407418,0.930884572807594
resnet,17,bandpass,0,electrode,all,ap_NORM,0.8523628189114492,0.6826298164513056,0.16973300246014356,0.8008676602321649
resnet,17,bandpass,0,electrode,all,ap_MI,0.6026323895714301,0.445083490082572,0.15754889948885809,0.7385654966178642
resnet,17,bandpass,0,electrode,all,ap_STTC,0.760235683067164,0.4715139939626015,0.28872168910456253,0.6202208137082731
resnet,17,bandpass,0,electrode,all,ap_CD,0.7146642813118566,0.4615182866688588,0.25314599464299775,0.6457833401454427
resnet,17,bandpass,0,electrode,all,ap_HYP,0.5675984805917279,0.441490296613063,0.1261081839786649,0.7778214912626731
resnet,17,bandpass,0,electrode,all,f1_NORM,0.8247011952191236,0.4031007751937984,0.42160042002532516,0.48878403175613866
resnet,17,bandpass,0,electrode,all,f1_MI,0.5760649087221096,0.4569190600522193,0.11914584866989031,0.7931728753709615
resnet,17,bandpass,0,electrode,all,f1_STTC,0.7223300970873786,0.4875148632580262,0.23481523382935243,0.6749197703697202
resnet,17,bandpass,0,electrode,all,f1_CD,0.6275510204081632,0.4547803617571059,0.17277065865105734,0.724690657758136
resnet,17,bandpass,0,electrode,all,f1_HYP,0.4692307692307692,0.4249084249084249,0.044322344322344276,0.9055425448848775
resnet,17,bandpass,0,independent,all,macro_auroc,0.86728516533319,0.751987604351199,0.11529756098199095,0.8670592262020722
resnet,17,bandpass,0,independent,all,macro_ap,0.6994987306907255,0.518357785199121,0.18114094549160453,0.7410417810001221
resnet,17,bandpass,0,independent,all,macro_f1,0.6439755981335089,0.4650547787611338,0.17892081937237508,0.7221621131426732
resnet,17,bandpass,0,independent,all,auroc_NORM,0.8942763456266882,0.7749469214437366,0.11932942418295167,0.8665631437447953
resnet,17,bandpass,0,independent,all,auroc_MI,0.8235754933943629,0.7028050875435758,0.12077040585078702,0.8533584269805241
resnet,17,bandpass,0,independent,all,auroc_STTC,0.9093264810477926,0.7301424668227947,0.17918401422499786,0.8029486461019678
resnet,17,bandpass,0,independent,all,auroc_CD,0.8635741678171499,0.7560791532443625,0.10749501457278743,0.8755231240353364
resnet,17,bandpass,0,independent,all,auroc_HYP,0.8456733387799564,0.7959643927015251,0.04970894607843135,0.9412196840081454
resnet,17,bandpass,0,independent,all,ap_NORM,0.8523628189114492,0.7225540927191632,0.129808726192286,0.8477071930954095
resnet,17,bandpass,0,independent,all,ap_MI,0.6026323895714301,0.437910588770788,0.16472180080064208,0.7266628816308516
resnet,17,bandpass,0,independent,all,ap_STTC,0.760235683067164,0.4486792594476881,0.31155642361947594,0.5901844249626714
resnet,17,bandpass,0,independent,all,ap_CD,0.7146642813118566,0.5044356934479374,0.21022858786391918,0.7058358821589295
resnet,17,bandpass,0,independent,all,ap_HYP,0.5675984805917279,0.4782092916100285,0.0893891889816994,0.8425133399064905
resnet,17,bandpass,0,independent,all,f1_NORM,0.8247011952191236,0.4524886877828054,0.3722125074363182,0.5486698581321083
resnet,17,bandpass,0,independent,all,f1_MI,0.5760649087221096,0.4450474898236092,0.13101741889850038,0.7725648326854171
resnet,17,bandpass,0,independent,all,f1_STTC,0.7223300970873786,0.4899408284023668,0.2323892686850118,0.6782782973840581
resnet,17,bandpass,0,independent,all,f1_CD,0.6275510204081632,0.4756756756756757,0.15187534473248754,0.7579872555470234
resnet,17,bandpass,0,independent,all,f1_HYP,0.4692307692307692,0.4621212121212121,0.007109557109557074,0.9848484848463861
resnet,17,bandpass,0,independent_rms,all,macro_auroc,0.86728516533319,0.7515274857953181,0.11575767953787186,0.8665286987881695
resnet,17,bandpass,0,independent_rms,all,macro_ap,0.6994987306907255,0.5210730508583101,0.17842567983241542,0.7449235116452999
resnet,17,bandpass,0,independent_rms,all,macro_f1,0.6439755981335089,0.471768946288893,0.17220665184461592,0.732588234174602
resnet,17,bandpass,0,independent_rms,all,auroc_NORM,0.8942763456266882,0.7710899465802961,0.12318639904639217,0.8622501873725306
