model,snr,metric,contrast,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,redundant_contrast,noise_sd
resnet,10,macro_auroc,S-I,S_02,-0.0018801136700279202,0.001311281585072171,3,-0.0025020541564690106,-0.0012748846625134065,2000,0,False,0.0007363788390545264
resnet,10,macro_auroc,S-I,S_03,0.0014190062107622354,0.0004452133915018708,3,0.0008269369248140643,0.0020372720580164286,2000,0,False,0.00040224948387341364
resnet,10,macro_auroc,S-I,S_04,0.0006473737522357249,0.00036192074596172366,3,8.387215486370004e-05,0.0012080267871303941,2000,0,False,0.0005930931069962793
resnet,10,macro_f1,E-I,S_00,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,True,0.0014695450630660717
resnet,10,macro_f1,E-I,S_01,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,True,0.0014695450630660717
resnet,10,macro_f1,E-I,S_02,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,True,0.0014695450630660717
resnet,10,macro_f1,E-I,S_03,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,True,0.0014695450630660717
resnet,10,macro_f1,E-I,S_04,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,True,0.0014695450630660717
resnet,10,macro_f1,E-S,S_00,-0.007206990611327075,0.0020553930899152224,3,-0.00944490321101221,-0.004910398680697425,2000,0,False,0.0016026546610076824
resnet,10,macro_f1,E-S,S_01,0.0009598431699799163,0.002318389338900214,3,-0.001113344980543306,0.002987607910838357,2000,0,False,0.0010392442879072561
resnet,10,macro_f1,E-S,S_02,-0.0008542283251699282,0.0019738350679867835,3,-0.002677914937643926,0.000862305217411629,2000,0,False,0.002295701347397
resnet,10,macro_f1,E-S,S_03,-0.009411772927114091,0.004165120266785883,3,-0.01199283815981621,-0.006933953722970064,2000,0,False,0.0008028961573728359
resnet,10,macro_f1,E-S,S_04,-0.009485483406798926,0.003951376228427389,3,-0.011858237823404286,-0.007004414417346935,2000,0,False,0.001518220932565684
resnet,10,macro_f1,S-I,S_00,0.0003075169971520229,0.0022396909084740056,3,-0.0013791096626893703,0.0020608302501433765,2000,0,False,0.0021587370840712864
resnet,10,macro_f1,S-I,S_01,-0.007859316784154968,0.0004072356582852358,3,-0.009862178694465505,-0.005755402778447489,2000,0,False,0.001571872053728755
resnet,10,macro_f1,S-I,S_02,-0.006045245289005124,0.0031776535646645056,3,-0.008041812672455788,-0.004110986339266935,2000,0,False,0.003361324562622274
resnet,10,macro_f1,S-I,S_03,0.0025122993129390405,0.0020740312093412232,3,0.0005880764548946302,0.004483735213515183,2000,0,False,0.0015451225021289063
resnet,10,macro_f1,S-I,S_04,0.0025860097926238743,0.002119712550512917,3,0.0006931143241912524,0.0043707105357086145,2000,0,False,0.0013768093004779968
tcn,0,ece,E-I,S_00,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,True,0.0009489179268754824
tcn,0,ece,E-I,S_01,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,True,0.0009489179268754824
tcn,0,ece,E-I,S_02,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,True,0.0009489179268754824
tcn,0,ece,E-I,S_03,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,True,0.0009489179268754824
tcn,0,ece,E-I,S_04,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,True,0.0009489179268754824
tcn,0,ece,E-S,S_00,0.07681287483643458,0.04698411509553188,3,0.07283552520474182,0.07873609379558384,2000,0,False,0.0009177409349059809
tcn,0,ece,E-S,S_01,0.028251932570911215,0.014650626952095656,3,0.026067745032711902,0.029876105036817976,2000,0,False,0.0008789009622396046
tcn,0,ece,E-S,S_02,0.013277129439092322,0.007213682046133751,3,0.011652345087783103,0.0149645269408965,2000,0,False,0.001212841157454237
tcn,0,ece,E-S,S_03,0.0921320217983242,0.03636451330638797,3,0.08665991095527596,0.09458679806110712,2000,0,False,0.0006423983629568015
tcn,0,ece,E-S,S_04,0.086814389306108,0.01680228917715107,3,0.08177015862891467,0.08939863967057284,2000,0,False,0.0008121322792882813
tcn,0,ece,S-I,S_00,-0.019954299545708622,0.03707018472077998,3,-0.02094036683730201,-0.017904782568544594,2000,0,False,0.000560755780451555
tcn,0,ece,S-I,S_01,0.028606642719814755,0.016658002574955016,3,0.027095746978842518,0.029453483345916208,2000,0,False,0.0013270490685235903
tcn,0,ece,S-I,S_02,0.04358144585163365,0.010464618256820605,3,0.04089781087136239,0.045046479074441446,2000,0,False,0.0006707152535262472
tcn,0,ece,S-I,S_03,-0.03527344650759825,0.024449383211783415,3,-0.03659433739359761,-0.03195463274185809,2000,0,False,0.0007723899291339117
tcn,0,ece,S-I,S_04,-0.029955814015382026,0.010800441653208556,3,-0.03123487341300695,-0.027003874208616874,2000,0,False,0.0004937708627583958
tcn,0,macro_auroc,E-I,S_00,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,True,0.0011355460459958092
tcn,0,macro_auroc,E-I,S_01,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,True,0.0011355460459958092
tcn,0,macro_auroc,E-I,S_02,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,True,0.0011355460459958092
tcn,0,macro_auroc,E-I,S_03,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,True,0.0011355460459958092
tcn,0,macro_auroc,E-I,S_04,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,True,0.0011355460459958092
tcn,0,macro_auroc,E-S,S_00,-0.01582264332458318,0.009991333699335784,3,-0.018117671638798717,-0.013667327085477044,2000,0,False,0.0011227518788897107
tcn,0,macro_auroc,E-S,S_01,-0.008099538884394797,0.0018638950147471989,3,-0.009615025854074354,-0.006542194242463794,2000,0,False,0.0012292314364291139
tcn,0,macro_auroc,E-S,S_02,-0.005504336628229116,0.0011806620028764888,3,-0.0067709741087696755,-0.00419583771364473,2000,0,False,0.0014104343906134998
tcn,0,macro_auroc,E-S,S_03,-0.019365371680616496,0.008967187866106095,3,-0.021736243465038996,-0.017157692564213765,2000,0,False,0.0007115765060863161
tcn,0,macro_auroc,E-S,S_04,-0.017144536639953786,0.007063521006275867,3,-0.01942572425416643,-0.014975793150065043,2000,0,False,0.0013215715525860948
tcn,0,macro_auroc,S-I,S_00,0.003338515331572953,0.0058244231618817715,3,0.0022058088562171537,0.00450065281172824,2000,0,False,0.0010656106966066986
tcn,0,macro_auroc,S-I,S_01,-0.004384589108615432,0.005515904784373611,3,-0.005500273757849817,-0.0032959895878525514,2000,0,False,0.0014006038823802078
tcn,0,macro_auroc,S-I,S_02,-0.006979791364781113,0.004288390013090554,3,-0.008349383166508637,-0.005723510931648169,2000,0,False,0.0008091266773066053
tcn,0,macro_auroc,S-I,S_03,0.006881243687606268,0.004804333816615227,3,0.005798488729395075,0.00808526530286518,2000,0,False,0.0008720776754450944
tcn,0,macro_auroc,S-I,S_04,0.004660408646943559,0.002913986198595741,3,0.0035318008615513687,0.005797836417362597,2000,0,False,0.0006752093334736957
tcn,0,macro_f1,E-I,S_00,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,True,0.002252587408020254
tcn,0,macro_f1,E-I,S_01,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,True,0.002252587408020254
tcn,0,macro_f1,E-I,S_02,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,True,0.002252587408020254
tcn,0,macro_f1,E-I,S_03,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,True,0.002252587408020254
tcn,0,macro_f1,E-I,S_04,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,True,0.002252587408020254
tcn,0,macro_f1,E-S,S_00,-0.12363275594078078,0.07027637030030334,3,-0.130081323928444,-0.11715297192211978,2000,0,False,0.0027227420277400934
tcn,0,macro_f1,E-S,S_01,-0.05887422192114882,0.035746330195209314,3,-0.06288972866508324,-0.05481110345132154,2000,0,False,0.0031356034828763776
tcn,0,macro_f1,E-S,S_02,-0.04372045902970293,0.025646258419226433,3,-0.048015501884422766,-0.0395879248300431,2000,0,False,0.0030825038245989055
tcn,0,macro_f1,E-S,S_03,-0.151036202468005,0.05446041687772219,3,-0.158558270327155,-0.14337449584534565,2000,0,False,0.0014023436271704414
tcn,0,macro_f1,E-S,S_04,-0.14201571068117463,0.03282769366419586,3,-0.14906805538165485,-0.13483603870449196,2000,0,False,0.0011826546885804195
tcn,0,macro_f1,S-I,S_00,0.025125895202132983,0.05545779492287562,3,0.021856475193379406,0.028468400488050234,2000,0,False,0.0025746155020898932
tcn,0,macro_f1,S-I,S_01,-0.03963263881749898,0.030187895300970654,3,-0.04280623092103844,-0.03637982297581537,2000,0,False,0.001610223344342499
tcn,0,macro_f1,S-I,S_02,-0.05478640170894486,0.014932061508528646,3,-0.05838808047578047,-0.05138564968454397,2000,0,False,0.003188787996244546
tcn,0,macro_f1,S-I,S_03,0.0525293417293572,0.03835610676094981,3,0.04823625157280113,0.05679155419782296,2000,0,False,0.0016784404222338228
tcn,0,macro_f1,S-I,S_04,0.04350884994252683,0.01183434319229031,3,0.03930241538476786,0.04762683402535535,2000,0,False,0.0023175007213260984
tcn,5,ece,E-I,S_00,0.018311283731784436,0.017701611175207903,3,0.014607737258815,0.02067558373153686,2000,0,True,0.0008004710198791569
tcn,5,ece,E-I,S_01,0.018311283731784436,0.017701611175207903,3,0.014607737258815,0.02067558373153686,2000,0,True,0.0008004710198791569
tcn,5,ece,E-I,S_02,0.018311283731784436,0.017701611175207903,3,0.014607737258815,0.02067558373153686,2000,0,True,0.0008004710198791569
