model,snr,metric,condition,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
tcn,10,macro_auroc,S_01,S_01,0.9158816731182307,0.0023042472687561733,3,0.907828277934195,0.9232557948664268,2000,0,0.0003459707942855117,0.0
tcn,10,macro_auroc,S_02,S_02,0.9160446168779423,0.0022941113066536323,3,0.907964126916455,0.9234650165743192,2000,0,0.00026025013820258204,0.0
tcn,10,macro_auroc,S_03,S_03,0.9170541095865358,0.0031175511473415926,3,0.9091336582285825,0.9243155986794314,2000,0,0.0002668581178860478,0.0
tcn,10,macro_auroc,S_04,S_04,0.9169914040321236,0.002666436193403294,3,0.9090756196959799,0.9242942648074266,2000,0,0.00017597719361474952,0.0
tcn,10,macro_f1,E,,0.7242535331583643,0.0009610364505700099,3,0.7096352651780368,0.7373585263790627,2000,0,0.0008134733474308105,0.0
tcn,10,macro_f1,I,,0.7298190999933049,0.0026542566213624166,3,0.7151732407186907,0.7428737466079038,2000,0,0.0016748460486115271,0.0
tcn,10,macro_f1,S,,0.7307736283664147,0.0025013149559485626,3,0.7160305921882929,0.7436912311693503,2000,0,0.0005599371125864968,0.003711072722076896
tcn,10,macro_f1,S_00,S_00,0.7321936444291316,0.005729241481234603,3,0.7172190106231973,0.7451600265867884,2000,0,0.0012352588311667337,0.0
tcn,10,macro_f1,S_01,S_01,0.7264728346985416,0.0013037271305369172,3,0.7119006973384572,0.7391605879459167,2000,0,0.0009852240356560194,0.0
tcn,10,macro_f1,S_02,S_02,0.7271423317472135,0.0005293143610339776,3,0.7124798723378015,0.7400137882632628,2000,0,0.0018994226721087248,0.0
tcn,10,macro_f1,S_03,S_03,0.7343338863800719,0.00507454239876695,3,0.7194029250964453,0.7473640151153498,2000,0,0.001297031841292981,0.0
tcn,10,macro_f1,S_04,S_04,0.7337254445771144,0.0030960881673210553,3,0.7188866388484145,0.7467562944509816,2000,0,0.001328980455998195,0.0
tcn,,ece,clean,,0.045212625109368944,0.0073453322526526215,3,0.044206650580245706,0.05434193173949139,2000,0,0.0,0.0
tcn,,macro_auroc,clean,,0.918860668598997,0.002727344674699912,3,0.9110404898343131,0.9259997817083591,2000,0,0.0,0.0
tcn,,macro_f1,clean,,0.7405847289575919,0.009420019707530819,3,0.7260690096932203,0.75361932737808,2000,0,0.0,0.0
