model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
resnet,10,macro_auroc,S-I,17,S_01,False,-0.002700680226664106
resnet,10,macro_auroc,S-I,17,S_02,False,-0.0033590913192739027
resnet,10,macro_auroc,S-I,17,S_03,False,0.0019330817696439628
resnet,10,macro_auroc,S-I,17,S_04,False,0.0008860077213898032
resnet,10,macro_auroc,S-I,29,S_00,False,0.0002627232984759864
resnet,10,macro_auroc,S-I,29,S_01,False,-0.002689258559447257
resnet,10,macro_auroc,S-I,29,S_02,False,-0.0008596831608465397
resnet,10,macro_auroc,S-I,29,S_03,False,0.0011650835224801814
resnet,10,macro_auroc,S-I,29,S_04,False,0.0008251712202385261
resnet,10,macro_auroc,S-I,43,S_00,False,0.00012055328587382934
resnet,10,macro_auroc,S-I,43,S_01,False,-0.0017561746554136486
resnet,10,macro_auroc,S-I,43,S_02,False,-0.0014215665299633178
resnet,10,macro_auroc,S-I,43,S_03,False,0.0011588533401625616
resnet,10,macro_auroc,S-I,43,S_04,False,0.00023094231507884513
resnet,10,macro_f1,E-I,17,S_00,True,-0.009948935500016779
resnet,10,macro_f1,E-I,17,S_01,True,-0.009948935500016779
resnet,10,macro_f1,E-I,17,S_02,True,-0.009948935500016779
resnet,10,macro_f1,E-I,17,S_03,True,-0.009948935500016779
resnet,10,macro_f1,E-I,17,S_04,True,-0.009948935500016779
resnet,10,macro_f1,E-I,29,S_00,True,-0.0060478415777281596
resnet,10,macro_f1,E-I,29,S_01,True,-0.0060478415777281596
resnet,10,macro_f1,E-I,29,S_02,True,-0.0060478415777281596
resnet,10,macro_f1,E-I,29,S_03,True,-0.0060478415777281596
resnet,10,macro_f1,E-I,29,S_04,True,-0.0060478415777281596
resnet,10,macro_f1,E-I,43,S_00,True,-0.004701643764780217
resnet,10,macro_f1,E-I,43,S_01,True,-0.004701643764780217
resnet,10,macro_f1,E-I,43,S_02,True,-0.004701643764780217
resnet,10,macro_f1,E-I,43,S_03,True,-0.004701643764780217
resnet,10,macro_f1,E-I,43,S_04,True,-0.004701643764780217
resnet,10,macro_f1,E-S,17,S_00,False,-0.008096946268547659
resnet,10,macro_f1,E-S,17,S_01,False,-0.0016302124473699757
resnet,10,macro_f1,E-S,17,S_02,False,-0.00054666591344212
resnet,10,macro_f1,E-S,17,S_03,False,-0.013101505434475358
resnet,10,macro_f1,E-S,17,S_04,False,-0.012720190923252587
resnet,10,macro_f1,E-S,29,S_00,False,-0.008667432670879771
resnet,10,macro_f1,E-S,29,S_01,False,0.001668664486877543
resnet,10,macro_f1,E-S,29,S_02,False,-0.0029637904231031667
resnet,10,macro_f1,E-S,29,S_03,False,-0.010238541445418895
resnet,10,macro_f1,E-S,29,S_04,False,-0.010654861526745829
resnet,10,macro_f1,E-S,43,S_00,False,-0.004856592894553795
resnet,10,macro_f1,E-S,43,S_01,False,0.0028410774704321815
resnet,10,macro_f1,E-S,43,S_02,False,0.0009477713610355024
resnet,10,macro_f1,E-S,43,S_03,False,-0.004895271901448024
resnet,10,macro_f1,E-S,43,S_04,False,-0.005081397770398362
resnet,10,macro_f1,S-I,17,S_00,False,-0.00185198923146912
resnet,10,macro_f1,S-I,17,S_01,False,-0.008318723052646804
resnet,10,macro_f1,S-I,17,S_02,False,-0.00940226958657466
resnet,10,macro_f1,S-I,17,S_03,False,0.0031525699344585787
resnet,10,macro_f1,S-I,17,S_04,False,0.0027712554232358078
resnet,10,macro_f1,S-I,29,S_00,False,0.002619591093151611
resnet,10,macro_f1,S-I,29,S_01,False,-0.007716506064605703
resnet,10,macro_f1,S-I,29,S_02,False,-0.003084051154624993
resnet,10,macro_f1,S-I,29,S_03,False,0.004190699867690735
resnet,10,macro_f1,S-I,29,S_04,False,0.0046070199490176695
resnet,10,macro_f1,S-I,43,S_00,False,0.00015494912977357758
resnet,10,macro_f1,S-I,43,S_01,False,-0.007542721235212398
resnet,10,macro_f1,S-I,43,S_02,False,-0.0056494151258157195
resnet,10,macro_f1,S-I,43,S_03,False,0.00019362813666780795
resnet,10,macro_f1,S-I,43,S_04,False,0.0003797540056181455
tcn,0,ece,E-I,17,S_00,True,0.04003405537713183
tcn,0,ece,E-I,17,S_01,True,0.04003405537713183
tcn,0,ece,E-I,17,S_02,True,0.04003405537713183
tcn,0,ece,E-I,17,S_03,True,0.04003405537713183
tcn,0,ece,E-I,17,S_04,True,0.04003405537713183
tcn,0,ece,E-I,29,S_00,True,0.061288851872306795
tcn,0,ece,E-I,29,S_01,True,0.061288851872306795
tcn,0,ece,E-I,29,S_02,True,0.061288851872306795
tcn,0,ece,E-I,29,S_03,True,0.061288851872306795
tcn,0,ece,E-I,29,S_04,True,0.061288851872306795
tcn,0,ece,E-I,43,S_00,True,0.06925281862273928
tcn,0,ece,E-I,43,S_01,True,0.06925281862273928
tcn,0,ece,E-I,43,S_02,True,0.06925281862273928
