object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
E_noise,5,101,,2158,0,1.1116434419117157e-15,1.9508499780460636e-16,1.081782162611083e-15,9.667969120955402e-16,1.21921089729336e-15,2.5241398519781985e-16,7.0308350170569195e-16,1.9608586040068627e-15
E_input,5,101,,2158,0,1.0379533427675173e-06,6.760779963892303e-07,9.107003540415606e-07,5.935526089670537e-07,1.319703676369242e-06,7.261510674021884e-07,1.897775687698906e-08,9.016728300041897e-06
I_noise,5,101,,2158,0,0.374629187363261,0.008511029997068837,0.37471788487437335,0.36879558060336326,0.3804863659901663,0.011690785386803015,0.34625214046633934,0.40524093490322993
I_input,5,101,,2158,0,0.08999888479289159,0.002176034491403434,0.09002615984396536,0.0885165573948182,0.0914472017060631,0.002930644311244901,0.0824078821242702,0.0968065575454604
S_noise,5,101,S_00,2158,0,0.453059083255639,0.0089997629152477,0.45309166929761857,0.4472478190077487,0.45917618532548204,0.011928366317733363,0.42239642570868946,0.48316159683490906
S_input,5,101,S_00,2158,0,0.10885470790697162,0.002287457115388571,0.10886367586892143,0.10729349585695139,0.1104364597472139,0.003142963890262515,0.10127098189823401,0.11718817823761624
S_noise,5,101,S_01,2158,0,0.31399576348840075,0.009631866578590685,0.313843865439698,0.30766381013372995,0.3204032860024333,0.012739475868703332,0.27549756474021964,0.34381879114476926
S_input,5,101,S_01,2158,0,0.07545144411889491,0.0023879974124973013,0.07541279536260637,0.07387593556635519,0.07707423029480845,0.0031982947284532603,0.0652715665729391,0.08281617144483805
S_noise,5,101,S_02,2158,0,0.23174513344458927,0.00914939005521088,0.23162536299621683,0.2255596366954138,0.23811515594549565,0.012555519250081859,0.1920361267356217,0.2591344390125544
S_input,5,101,S_02,2158,0,0.05568001732900953,0.0022385345588585145,0.05560377931169708,0.0541512999366415,0.05716047687171353,0.003009176935072029,0.046377690322084324,0.0626014137392737
S_noise,5,101,S_03,2158,0,0.5561530452178601,0.009924134696422855,0.5562349745936305,0.5493830450781827,0.5630596056753321,0.01367656059714939,0.5212621350799476,0.5917185582616078
S_input,5,101,S_03,2158,0,0.13365782895062817,0.0025237224304640736,0.13367668792250142,0.13196576547475555,0.13536289047773087,0.0033971250029753153,0.12407414217177543,0.14272579539898805
S_noise,5,101,S_04,2158,0,0.4995055413042451,0.009041756620190394,0.49937721360591536,0.4933865807506613,0.5058403733812943,0.01245379263063301,0.46894152763277797,0.5299442250480108
S_input,5,101,S_04,2158,0,0.12002084673668803,0.002294648923252923,0.12003546090498865,0.11841493756587995,0.121585435916778,0.0031704983508980544,0.11210083272034681,0.12755995906951
E_noise,5,202,,2158,0,1.1113510989197855e-15,1.9176518155127893e-16,1.0846346487145663e-15,9.760103892934293e-16,1.2196285985915781e-15,2.436182092981488e-16,7.221115599086647e-16,1.978496884136974e-15
E_input,5,202,,2158,0,1.0384854640768018e-06,6.768781163828575e-07,9.09516210700702e-07,5.934499531483968e-07,1.3196368692827814e-06,7.261869161343845e-07,1.889537946437054e-08,9.115303246052292e-06
I_noise,5,202,,2158,0,0.37452154471388205,0.008643390036457308,0.3743351007614012,0.3687460975999146,0.3807057950849616,0.011959697485046994,0.34652439211558894,0.4039391484156141
I_input,5,202,,2158,0,0.08999053669950165,0.002199034518866631,0.08998266959097154,0.08851940127367267,0.09150465690245975,0.002985255628787084,0.08266898979224498,0.09776255887354295
S_noise,5,202,S_00,2158,0,0.45282981795155913,0.009279415363629893,0.4527814071873097,0.44643947696019454,0.4589527012217266,0.012513224261532063,0.41654725122572195,0.4857933431708976
S_input,5,202,S_00,2158,0,0.10883117947777002,0.00234177411598962,0.1088013650379269,0.10723694257337654,0.11034968676750312,0.0031127441941265765,0.09985344440043624,0.11670872706162336
S_noise,5,202,S_01,2158,0,0.31375944374712456,0.009669702531863092,0.3133990950650912,0.3075665447054654,0.32043729847059993,0.012870753765134524,0.2782348543016949,0.3501927393280103
S_input,5,202,S_01,2158,0,0.07539546062564483,0.002392847413614469,0.075345681703371,0.0737659242503433,0.07706462633766013,0.003298702087316835,0.0671148781495328,0.08438960708119676
S_noise,5,202,S_02,2158,0,0.23147289813030444,0.00918297187364433,0.23138584594614453,0.22530431905080936,0.23778580015000556,0.012481481099196196,0.20119467011174916,0.2671993153236891
S_input,5,202,S_02,2158,0,0.05561292884782036,0.002280537145052417,0.05558377603182843,0.054096500050823726,0.05713476393254956,0.0030382638817258306,0.04784802071616331,0.06372384095114679
S_noise,5,202,S_03,2158,0,0.5557829259934334,0.010214339441684525,0.5560364828760986,0.5486686011841979,0.5628674382139809,0.014198837029782974,0.52392063112702,0.5881958927764062
S_input,5,202,S_03,2158,0,0.13355546307196717,0.0025756549006762087,0.13357179482172854,0.1317934754958541,0.1353155610668619,0.0035220855710078047,0.12522083745781715,0.14158357899417376
S_noise,5,202,S_04,2158,0,0.4991914779228859,0.009287517091881378,0.4991642047097996,0.49297843150278253,0.5055570670549336,0.012578635552151107,0.47090408663423733,0.5296331220334757
S_input,5,202,S_04,2158,0,0.1199269090046858,0.002394553315238685,0.11996822039206323,0.11829938895187228,0.12159932172135576,0.0032999327694834824,0.11203133147468695,0.12783806923707566
E_noise,5,303,,2158,0,1.1113537756442975e-15,1.9035377132189354e-16,1.0786277267229471e-15,9.771398374566016e-16,1.2133454252140745e-15,2.362055877574729e-16,7.087521760605618e-16,1.911629486429608e-15
