object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
S_noise,5,303,S_04,100,0,0.4986397446258731,0.009578582128846803,0.4986132194632278,0.4928142563441167,0.5059050720931415,0.01309081574902482,0.4680605941841402,0.5178676804586952
S_input,5,303,S_04,100,0,0.11975644338424056,0.002356286327246682,0.1200014438046155,0.1183255747846698,0.12155413519503358,0.003228560410363776,0.11303775836233047,0.1244118450629093
E_noise,5,404,,100,0,1.0927842882388422e-15,1.66446173292526e-16,1.088057350438177e-15,9.883822042982533e-16,1.199125443421812e-15,2.1074323912355873e-16,7.82786512073332e-16,1.77173766174766e-15
E_input,5,404,,100,0,9.2674065998861e-07,5.52587956105715e-07,8.895262806010605e-07,5.884959729140038e-07,1.1063110991375412e-06,5.178151262235375e-07,4.652012845411029e-08,3.048180726524249e-06
I_noise,5,404,,100,0,0.3746029262467065,0.008874770756694591,0.37405763910521533,0.36869980979328154,0.38018037685777584,0.011480567064494296,0.35221400307519873,0.39869884167157393
I_input,5,404,,100,0,0.08999666001178964,0.0022971183653448207,0.0899365512293002,0.08867991355684807,0.09143114551430845,0.0027512319574603816,0.08369001937542021,0.09555480278037883
S_noise,5,404,S_00,100,0,0.45328620167333183,0.008988150436357683,0.4544913233547433,0.44691359198096486,0.45973802176003375,0.012824429779068891,0.4300149084696341,0.47327126669345837
S_input,5,404,S_00,100,0,0.10899562787355166,0.002192625663845764,0.10901341308027745,0.10755514141907133,0.11042336125224103,0.002868219833169705,0.10403823205165003,0.11383820936382175
S_noise,5,404,S_01,100,0,0.3153355328260664,0.009502974486712614,0.314188176344096,0.3095194897953362,0.32248646244778856,0.012966972652452335,0.28750673201044935,0.3345725833910632
S_input,5,404,S_01,100,0,0.07588686646454373,0.0023236428687610873,0.07564188876449537,0.07476910303142603,0.07745171573531395,0.002682612703887921,0.06885348858678216,0.08070576236515352
S_noise,5,404,S_02,100,0,0.2330016941991051,0.008567968780632006,0.23305044837688815,0.22626903143428123,0.23875493464093772,0.01248590320665649,0.20876964010567745,0.24988244147539504
