model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,10,LL,noisy_minus_clean,covariance,macro_f1,43,0.6900323129014599,0.7190678235877949,-0.02903551068633492,3,-0.04171031073366164,0.012562313235711036,-0.07291682678892501,-0.010503794678398265
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_auroc,17,0.8816174201170307,0.9068922993183458,-0.025274879201315104,3,-0.017295454297181045,0.006919141882951753,-0.03448355558135968,-0.00010735301300240918
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_auroc,29,0.8949535253923339,0.907911261424449,-0.012957736032115141,3,-0.017295454297181045,0.006919141882951753,-0.03448355558135968,-0.00010735301300240918
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_auroc,43,0.8950467568651999,0.9087005045233127,-0.013653747658112891,3,-0.017295454297181045,0.006919141882951753,-0.03448355558135968,-0.00010735301300240918
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_ap,17,0.7387592961283242,0.7807184945903615,-0.04195919846203722,3,-0.02870989729670585,0.011601349986327386,-0.05752924830459875,0.00010945371118704916
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_ap,29,0.7705442961390325,0.7909168445498038,-0.020372548410771296,3,-0.02870989729670585,0.011601349986327386,-0.05752924830459875,0.00010945371118704916
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_ap,43,0.7627735394975251,0.7865714845148342,-0.02379794501730903,3,-0.02870989729670585,0.011601349986327386,-0.05752924830459875,0.00010945371118704916
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_f1,17,0.6507716327932096,0.7118815125857424,-0.061109879792532795,3,-0.04641785277357687,0.012740715692189729,-0.07806754509884237,-0.01476816044831137
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_f1,29,0.68252745886764,0.7222581554037724,-0.03973069653613237,3,-0.04641785277357687,0.012740715692189729,-0.07806754509884237,-0.01476816044831137
resnet,bandpass,10,LL,noisy_minus_clean,electrode,macro_f1,43,0.6806548415957294,0.7190678235877949,-0.03841298199206544,3,-0.04641785277357687,0.012740715692189729,-0.07806754509884237,-0.01476816044831137
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_auroc,17,0.8929132304317509,0.9068922993183458,-0.013979068886594948,3,-0.009875189760617223,0.003615390944863799,-0.01885631874936275,-0.0008940607718716988
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_auroc,29,0.8994249246761152,0.907911261424449,-0.008486336748333767,3,-0.009875189760617223,0.003615390944863799,-0.01885631874936275,-0.0008940607718716988
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_auroc,43,0.9015403408763898,0.9087005045233127,-0.007160163646922957,3,-0.009875189760617223,0.003615390944863799,-0.01885631874936275,-0.0008940607718716988
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_ap,17,0.7565680905267771,0.7807184945903615,-0.024150404063584374,3,-0.017309220658335178,0.005948163995621201,-0.03208527915535022,-0.0025331621613201363
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_ap,29,0.777556715481143,0.7909168445498038,-0.013360129068660798,3,-0.017309220658335178,0.005948163995621201,-0.03208527915535022,-0.0025331621613201363
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_ap,43,0.7721543556720738,0.7865714845148342,-0.014417128842760363,3,-0.017309220658335178,0.005948163995621201,-0.03208527915535022,-0.0025331621613201363
