model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
tcn,bandpass,10,electrode,V6,macro_f1,0.7292254991911594,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,all,macro_ap,0.7651914397618222,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,all,macro_ap,0.8031220649992551,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,all,macro_auroc,0.8957086039847212,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,all,macro_auroc,0.9153467303097678,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,all,macro_f1,0.6908267775048994,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,all,macro_f1,0.7233972773998557,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent,all,macro_ap,0.7704463306408678,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent,all,macro_ap,0.8058939862146084,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent,all,macro_auroc,0.8993311474705162,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent,all,macro_auroc,0.9165372411162053,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent,all,macro_f1,0.6968020348435013,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent,all,macro_f1,0.7304065912875256,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LA,macro_ap,0.7691548639921396,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,LA,macro_ap,0.8056248420087314,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LA,macro_auroc,0.8987797871201734,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,LA,macro_auroc,0.916174045817023,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LA,macro_f1,0.6967255794934649,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
