kind,condition,lead_i,lead_j,covariance
bandpass,electrode,V1,II,7.015759368334436e-06
bandpass,electrode,V1,III,3.0186137244951432e-05
bandpass,electrode,V1,aVR,8.077309254141315e-06
bandpass,electrode,V1,aVL,-2.6678257560784208e-05
bandpass,electrode,V1,aVF,1.8600948306642903e-05
bandpass,electrode,V1,V1,0.004590569936054048
bandpass,electrode,V1,V2,0.0011419656363581398
bandpass,electrode,V1,V3,0.0011204393826104236
bandpass,electrode,V1,V4,0.0011761101960881212
bandpass,electrode,V1,V5,0.0011418175174033446
bandpass,electrode,V1,V6,0.0011314978389216127
bandpass,electrode,V2,I,-2.273093910765137e-06
bandpass,electrode,V2,II,-4.4653095410130435e-06
bandpass,electrode,V2,III,-2.1922156302478792e-06
bandpass,electrode,V2,aVR,3.3692017258890992e-06
bandpass,electrode,V2,aVL,-4.043914025867207e-08
bandpass,electrode,V2,aVF,-3.3287625856304453e-06
bandpass,electrode,V2,V1,0.0011419656363581398
bandpass,electrode,V2,V2,0.0045402757210788285
bandpass,electrode,V2,V3,0.0011401006657288176
bandpass,electrode,V2,V4,0.0011644585360969626
bandpass,electrode,V2,V5,0.001137307700859192
bandpass,electrode,V2,V6,0.0011284843751625242
bandpass,electrode,V3,I,-1.8795260290945582e-05
bandpass,electrode,V3,II,-3.792132778141684e-05
bandpass,electrode,V3,III,-1.912606749047132e-05
bandpass,electrode,V3,aVR,2.8358294036181215e-05
bandpass,electrode,V3,aVL,1.6540359976286552e-07
bandpass,electrode,V3,aVF,-2.852369763594409e-05
bandpass,electrode,V3,V1,0.0011204393826104236
bandpass,electrode,V3,V2,0.0011401006657288176
bandpass,electrode,V3,V3,0.004508850333487779
bandpass,electrode,V3,V4,0.0011280809473554706
bandpass,electrode,V3,V5,0.0011384937010275947
bandpass,electrode,V3,V6,0.0011343940883748994
bandpass,electrode,V4,I,-7.894728985727116e-06
bandpass,electrode,V4,II,5.834067557922183e-06
bandpass,electrode,V4,III,1.3728796543649295e-05
bandpass,electrode,V4,aVR,1.03033071390248e-06
bandpass,electrode,V4,aVL,-1.0811762764688229e-05
bandpass,electrode,V4,aVF,9.781432050785732e-06
bandpass,electrode,V4,V1,0.0011761101960881212
bandpass,electrode,V4,V2,0.0011644585360969626
bandpass,electrode,V4,V3,0.0011280809473554706
bandpass,electrode,V4,V4,0.0045384226481484545
bandpass,electrode,V4,V5,0.0011463525792761748
bandpass,electrode,V4,V6,0.001142366397766679
