architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,29,LL,20001,heldout,absolute macro-AUROC,fraction,0.8892267082910049,0.8810457849629267,0.8949427791418699,0.893718531585112,0.008180923328078182,0.0012242475567578737,0.006956675771320309
resnet,5,29,LL,20002,heldout,absolute macro-AUROC,fraction,0.8901445174744161,0.8801439469468105,0.8944500488714869,0.8922529702385221,0.010000570527605612,0.0021970786329648107,0.007803491894640802
resnet,5,29,LL,20003,heldout,absolute macro-AUROC,fraction,0.8898280663705703,0.8814897917370299,0.8959718005634907,0.8946935494875994,0.008338274633540421,0.0012782510758913013,0.00706002355764912
resnet,5,29,LL,20004,heldout,absolute macro-AUROC,fraction,0.8903842449311128,0.8826027755102281,0.8962745797425683,0.895526530991636,0.007781469420884646,0.000748048750932262,0.007033420669952384
resnet,5,29,LL,20005,heldout,absolute macro-AUROC,fraction,0.8907055478283088,0.8827051931484554,0.8956455696530201,0.8957886409735382,0.008000354679853383,-0.00014307132051805116,0.008143426000371434
resnet,5,29,LL_V1_V4,20001,heldout,absolute macro-AUROC,fraction,0.8919124875813758,0.8866894532495966,0.8954122039517941,0.8945717968351129,0.005223034331779175,0.0008404071166812077,0.004382627215097967
resnet,5,29,LL_V1_V4,20002,heldout,absolute macro-AUROC,fraction,0.8908833971289443,0.8861338533656544,0.8948487573416862,0.8939393233465299,0.004749543763289843,0.0009094339951563057,0.003840109768133537
resnet,5,29,LL_V1_V4,20003,heldout,absolute macro-AUROC,fraction,0.8916988072759636,0.8866152975012745,0.896602971795201,0.8963332285292089,0.005083509774689077,0.0002697432659920507,0.004813766508697026
resnet,5,29,LL_V1_V4,20004,heldout,absolute macro-AUROC,fraction,0.8927575905942335,0.8886719026724876,0.8965985599809605,0.8972074077911957,0.004085687921745906,-0.0006088478102351802,0.0046945357319810865
resnet,5,29,LL_V1_V4,20005,heldout,absolute macro-AUROC,fraction,0.8915745955121663,0.8868961754071897,0.8954374634711536,0.8962823781988621,0.004678420104976655,-0.0008449147277085345,0.005523334832685189
resnet,5,29,LL_V4,20001,heldout,absolute macro-AUROC,fraction,0.8916150192554138,0.8863031306731344,0.8958158256091833,0.8950121346899376,0.005311888582279378,0.0008036909192457031,0.004508197663033675
resnet,5,29,LL_V4,20002,heldout,absolute macro-AUROC,fraction,0.8913261952062612,0.8844050038474294,0.8952581374371773,0.8933654920045846,0.006921191358831846,0.00189264543259271,0.005028545926239136
resnet,5,29,LL_V4,20003,heldout,absolute macro-AUROC,fraction,0.8904501265816597,0.8851261118643169,0.8963305462090962,0.8959386077607009,0.005324014717342784,0.00039193844839535696,0.004932076268947427
resnet,5,29,LL_V4,20004,heldout,absolute macro-AUROC,fraction,0.891296984024148,0.8861475784343116,0.8965678749294146,0.8968381455159369,0.005149405589836453,-0.0002702705865222921,0.005419676176358745
resnet,5,29,LL_V4,20005,heldout,absolute macro-AUROC,fraction,0.8926998303045497,0.8876591657274384,0.8959877315133491,0.8967262806245129,0.005040664577111276,-0.0007385491111637776,0.005779213688275053
resnet,5,29,RA,20001,heldout,absolute macro-AUROC,fraction,0.8913592595716462,0.886493983730739,0.8941046169126727,0.8937355508089555,0.004865275840907235,0.0003690661037172305,0.0044962097371900045
resnet,5,29,RA,20002,heldout,absolute macro-AUROC,fraction,0.8890872945717408,0.8838514733368383,0.894529956003894,0.8931195797352061,0.005235821234902516,0.0014103762686878962,0.0038254449662146195
resnet,5,29,RA,20003,heldout,absolute macro-AUROC,fraction,0.8929023975413823,0.8871858091903475,0.8955745832887031,0.8953652870619546,0.005716588351034835,0.0002092962267484788,0.005507292124286356
resnet,5,29,RA,20004,heldout,absolute macro-AUROC,fraction,0.8923911062131914,0.8880499643973213,0.8951797120653074,0.8958180644609458,0.0043411418158700865,-0.0006383523956383641,0.004979494211508451
