model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,-0.0003696507212802569,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,-0.0002139295781273809,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,-0.0003539252319647579,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,-0.00032748319855302466,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,-0.00039011985742543054,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20001.0,-0.00035556756162804517,1.0,5.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20002.0,-0.0003063807926738216,1.0,5.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20003.0,-0.0003171595428272278,1.0,5.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20004.0,-0.000333212444789921,1.0,5.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20005.0,-0.0003561316650482871,1.0,5.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,summary,,,-0.00033369040139346056,,,0.0,2.2369247362319595e-05,-0.0003561316650482871,-0.0003063807926738216,5.0,0.0,5.0,0.0
