model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,independent_rms,1,0.002492232406805406,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,absolute,mixed,electrode,1,-0.004696486767663877,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,independent_rms,clean_only,1,0.002579112659514382,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,electrode,clean_only,1,-0.013565116806747435,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,clean_only,1,-0.011006179684441952,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,clean_only,independent_rms,1,-0.002579112659514382,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,electrode,independent_rms,1,-0.016144229466261817,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,independent_rms,1,-0.013585292343956334,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,clean_cost,mixed,electrode,1,0.0025589371223054824,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,independent_rms,clean_only,1,-0.007083922127532505,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,electrode,clean_only,1,0.0018715881642600296,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,clean_only,1,0.004009137809618424,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,clean_only,independent_rms,1,0.007083922127532505,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,electrode,independent_rms,1,0.008955510291792534,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,independent_rms,1,0.011093059937150929,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,drop,mixed,electrode,1,0.002137549645358394,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,independent_rms,clean_only,1,0.009920162741263061,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,electrode,clean_only,1,-0.002387257527641684,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,mixed,clean_only,1,-0.005378599806058593,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,clean_only,independent_rms,1,-0.009920162741263061,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,electrode,independent_rms,1,-0.012307420268904745,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,mixed,independent_rms,1,-0.015298762547321654,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_ap,retention,mixed,electrode,1,-0.0029913422784169086,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,independent_rms,clean_only,1,0.0039515453351168794,,,,1,0,1,0,0,,,,-0.0009745236776459692,0.00912291512527585
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,electrode,clean_only,1,0.007495961249476046,,,,1,0,1,0,0,,,,0.0002810859751942285,0.014930557602748314
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,mixed,clean_only,1,0.0013637653436113784,,,,1,0,1,0,0,,,,-0.005716426808466954,0.008916360949351824
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,clean_only,independent_rms,1,-0.0039515453351168794,,,,1,0,0,1,0,,,,-0.009122915125275851,0.0009745236776459692
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,electrode,independent_rms,1,0.003544415914359167,,,,1,0,1,0,0,,,,-0.003138126260060564,0.010397897731700537
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,mixed,independent_rms,1,-0.002587779991505501,,,,1,0,0,1,0,,,,-0.009163966727833423,0.004390050153958818
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,absolute,mixed,electrode,1,-0.006132195905864668,,,,1,0,0,1,0,,,,-0.013996571933741608,0.0017798651162353712
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,independent_rms,clean_only,1,-0.001769815254693663,,,,1,0,0,1,0,,,,-0.006297234905331159,0.0028365417748680275
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,electrode,clean_only,1,-0.008397078093721477,,,,1,0,0,1,0,,,,-0.01553270436458054,-0.0007177519314387038
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,mixed,clean_only,1,-0.002136826610354192,,,,1,0,0,1,0,,,,-0.009311500279275492,0.004685493868543574
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,clean_only,independent_rms,1,0.001769815254693663,,,,1,0,1,0,0,,,,-0.002836541774868037,0.006297234905331159
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,electrode,independent_rms,1,-0.006627262839027814,,,,1,0,0,1,0,,,,-0.013652925308968994,0.0001507927165949718
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,mixed,independent_rms,1,-0.0003670113556605292,,,,1,0,0,1,0,,,,-0.007354560323148329,0.00634613131321498
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,clean_cost,mixed,electrode,1,0.006260251483367285,,,,1,0,1,0,0,,,,-0.0017778489304633189,0.013962999361632894
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,independent_rms,clean_only,1,-0.0021817300804232165,,,,1,0,0,1,0,,,,-0.005936103572243448,0.0014145663915281909
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,electrode,clean_only,1,0.0009011168442454309,,,,1,0,1,0,0,,,,-0.0034734679750275943,0.004815618645748472
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,mixed,clean_only,1,0.0007730612667428138,,,,1,0,1,0,0,,,,-0.0034189411674734383,0.0046795592025703145
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,clean_only,independent_rms,1,0.0021817300804232165,,,,1,0,1,0,0,,,,-0.0014145663915281937,0.005936103572243445
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,electrode,independent_rms,1,0.0030828469246686474,,,,1,0,1,0,0,,,,-0.0011108788924763635,0.006943392019136611
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,mixed,independent_rms,1,0.0029547913471660303,,,,1,0,1,0,0,,,,-0.0008319530511159606,0.006710352272002906
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,drop,mixed,electrode,1,-0.0001280555775026171,,,,1,0,0,1,0,,,,-0.004092746356608909,0.003837427063582502
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,independent_rms,clean_only,1,0.002509376573700539,,,,1,0,1,0,0,,,,-0.0016228815906921157,0.006791354951248894
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,electrode,clean_only,1,-0.0009996349189427267,,,,1,0,0,1,0,,,,-0.005581265733153773,0.004032506134100445
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,mixed,clean_only,1,-0.0008799433104651477,,,,1,0,0,1,0,,,,-0.005395143426708415,0.0038991024801220352
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,clean_only,independent_rms,1,-0.002509376573700539,,,,1,0,0,1,0,,,,-0.006791354951248896,0.0016228815906921116
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,electrode,independent_rms,1,-0.003509011492643266,,,,1,0,0,1,0,,,,-0.007878168102673203,0.0012554234927052673
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,mixed,independent_rms,1,-0.003389319884165687,,,,1,0,0,1,0,,,,-0.007653845881542698,0.0009266266018631587
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_auroc,retention,mixed,electrode,1,0.00011969160847757898,,,,1,0,1,0,0,,,,-0.004426552109609028,0.004625098288939879
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_f1,absolute,independent_rms,clean_only,1,0.0011010544484942875,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_f1,absolute,electrode,clean_only,1,0.010151829843913718,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_f1,absolute,mixed,clean_only,1,-0.003923327386273767,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s10,bandpass,all,aggregate,covariance,10,macro_f1,absolute,clean_only,independent_rms,1,-0.0011010544484942875,,,,1,0,0,1,0,,,,,
