model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__combo_V3__independent_rms__s5,macro_ap,clean_only,0.6746130192227946,4.0
resnet,17,bandpass__combo_V3__independent_rms__s5,macro_f1,clean_only,0.6252956771651171,3.0
resnet,17,bandpass__combo_V3__independent_rms__s5,brier,clean_only,0.1268715262413025,2.0
resnet,17,bandpass__combo_V3__independent_rms__s5,ece,clean_only,0.0778141061618924,2.0
resnet,17,bandpass__combo_V3__independent_rms__s0,macro_auroc,clean_only,0.791514987904927,4.0
resnet,17,bandpass__combo_V3__independent_rms__s0,macro_ap,clean_only,0.56752811574624,4.0
resnet,17,bandpass__combo_V3__independent_rms__s0,macro_f1,clean_only,0.5285864594756501,3.0
resnet,17,bandpass__combo_V3__independent_rms__s0,brier,clean_only,0.1524984836578369,2.0
resnet,17,bandpass__combo_V3__independent_rms__s0,ece,clean_only,0.0806265719790011,2.0
resnet,17,bandpass__combo_V3__electrode__s10,macro_auroc,clean_only,0.866920798690691,4.0
resnet,17,bandpass__combo_V3__electrode__s10,macro_ap,clean_only,0.7053718251126467,4.0
resnet,17,bandpass__combo_V3__electrode__s10,macro_f1,clean_only,0.6505798287818874,4.0
resnet,17,bandpass__combo_V3__electrode__s10,brier,clean_only,0.1187000349164009,2.0
resnet,17,bandpass__combo_V3__electrode__s10,ece,clean_only,0.0715015282213688,2.0
resnet,17,bandpass__combo_V3__electrode__s5,macro_auroc,clean_only,0.8496379994674834,4.0
resnet,17,bandpass__combo_V3__electrode__s5,macro_ap,clean_only,0.665157861529605,4.0
resnet,17,bandpass__combo_V3__electrode__s5,macro_f1,clean_only,0.6160186475264731,3.0
resnet,17,bandpass__combo_V3__electrode__s5,brier,clean_only,0.1287817806005478,2.0
resnet,17,bandpass__combo_V3__electrode__s5,ece,clean_only,0.076494818881899,2.0
resnet,17,bandpass__combo_V3__electrode__s0,macro_auroc,clean_only,0.7959839463363314,4.0
resnet,17,bandpass__combo_V3__electrode__s0,macro_ap,clean_only,0.5681458886230168,4.0
resnet,17,bandpass__combo_V3__electrode__s0,macro_f1,clean_only,0.5180297148408507,3.0
resnet,17,bandpass__combo_V3__electrode__s0,brier,clean_only,0.1521277725696563,2.0
resnet,17,bandpass__combo_V3__electrode__s0,ece,clean_only,0.0865884814281016,2.0
resnet,17,bandpass__combo_V3__covariance__s10,macro_auroc,clean_only,0.8661618155821381,4.0
resnet,17,bandpass__combo_V3__covariance__s10,macro_ap,clean_only,0.704315513856234,4.0
resnet,17,bandpass__combo_V3__covariance__s10,macro_f1,clean_only,0.6536017426135073,2.0
resnet,17,bandpass__combo_V3__covariance__s10,brier,clean_only,0.1181287094950676,2.0
resnet,17,bandpass__combo_V3__covariance__s10,ece,clean_only,0.0721408043708652,2.0
resnet,17,bandpass__combo_V3__covariance__s5,macro_auroc,clean_only,0.8491778279022606,4.0
resnet,17,bandpass__combo_V3__covariance__s5,macro_ap,clean_only,0.6753211256202788,4.0
resnet,17,bandpass__combo_V3__covariance__s5,macro_f1,clean_only,0.6265840640050185,2.0
resnet,17,bandpass__combo_V3__covariance__s5,brier,clean_only,0.1276466846466064,2.0
resnet,17,bandpass__combo_V3__covariance__s5,ece,clean_only,0.0784311964090913,2.0
resnet,17,bandpass__combo_V3__covariance__s0,macro_auroc,clean_only,0.7850930201294122,4.0
resnet,17,bandpass__combo_V3__covariance__s0,macro_ap,clean_only,0.559300689737759,4.0
resnet,17,bandpass__combo_V3__covariance__s0,macro_f1,clean_only,0.5216532933547953,3.0
resnet,17,bandpass__combo_V3__covariance__s0,brier,clean_only,0.1545222103595733,2.0
resnet,17,bandpass__combo_V3__covariance__s0,ece,clean_only,0.0826838871177286,2.0
resnet,17,bandpass__combo_V4__independent_rms__s10,macro_auroc,clean_only,0.8681959061888687,4.0
resnet,17,bandpass__combo_V4__independent_rms__s10,macro_ap,clean_only,0.7114349858439148,3.0
resnet,17,bandpass__combo_V4__independent_rms__s10,macro_f1,clean_only,0.6621299914981357,2.0
resnet,17,bandpass__combo_V4__independent_rms__s10,brier,clean_only,0.1166371926665306,2.0
resnet,17,bandpass__combo_V4__independent_rms__s10,ece,clean_only,0.0715500924307852,2.0
