noise_seed,snr,lead,frequency_hz,electrode_psd,marginal_shift_psd
8128,20,I,47.265625,5.799887704649343e-14,6.102908414938947e-14
8128,20,I,47.65625,4.5766355614277597e-14,4.8188529503952096e-14
8128,20,I,48.046875,3.706145071697022e-14,3.9049745355034603e-14
8128,20,I,48.4375,3.089549535047122e-14,3.25799979239344e-14
8128,20,I,48.828125,2.6622732927425817e-14,2.8097508468205692e-14
8128,20,I,49.21875,2.382416347954575e-14,2.516277890821662e-14
8128,20,I,49.609375,2.2239510717160654e-14,2.350050522927653e-14
8128,20,I,50.0,1.086370298910302e-14,1.1481240349316265e-14
8128,20,II,0.0,1.5470686311301678e-06,1.5108312813566717e-06
8128,20,II,0.390625,8.407890608611549e-06,8.31224052799762e-06
8128,20,II,0.78125,1.629223058231931e-05,1.6263221886961577e-05
8128,20,II,1.171875,1.7326959524544095e-05,1.7643577564656685e-05
8128,20,II,1.5625,1.7364791362793273e-05,1.750882940937557e-05
8128,20,II,1.953125,1.7519985209182e-05,1.7601015560770764e-05
8128,20,II,2.34375,1.7523252248410485e-05,1.7369730603565906e-05
8128,20,II,2.734375,1.7351732316782397e-05,1.75478541424469e-05
8128,20,II,3.125,1.7646256835418818e-05,1.7351840054582642e-05
8128,20,II,3.515625,1.788515375372135e-05,1.757654881075743e-05
8128,20,II,3.90625,1.755147584565297e-05,1.8034212856936362e-05
8128,20,II,4.296875,1.741121123452959e-05,1.7838261353534054e-05
8128,20,II,4.6875,1.7611045481000057e-05,1.7472748952798537e-05
8128,20,II,5.078125,1.7365098889190257e-05,1.688217170844654e-05
8128,20,II,5.46875,1.726435971042286e-05,1.7053052876742533e-05
8128,20,II,5.859375,1.7642317863717072e-05,1.7317965851175176e-05
8128,20,II,6.25,1.7208015110059395e-05,1.7312441819839072e-05
8128,20,II,6.640625,1.7460561817128944e-05,1.7407159374400034e-05
8128,20,II,7.03125,1.7717369848364343e-05,1.7503982855179495e-05
8128,20,II,7.421875,1.7375285202071363e-05,1.7543134942363684e-05
8128,20,II,7.8125,1.740798691845461e-05,1.7446092795604126e-05
8128,20,II,8.203125,1.7262998690334158e-05,1.748215935529696e-05
8128,20,II,8.59375,1.7337615488807836e-05,1.7441605369116402e-05
8128,20,II,8.984375,1.757912600209341e-05,1.74063916179953e-05
8128,20,II,9.375,1.7517183413032946e-05,1.7315404133388022e-05
8128,20,II,9.765625,1.7053477876175078e-05,1.7078634902211498e-05
8128,20,II,10.15625,1.712737424224461e-05,1.6981324385992293e-05
8128,20,II,10.546875,1.7371001936487405e-05,1.723107077700348e-05
8128,20,II,10.9375,1.7584791763385076e-05,1.7577264948395903e-05
8128,20,II,11.328125,1.799542446597106e-05,1.7822763159387962e-05
