model,kind,snr,condition,active,seed,noise_seed,metric,outcome,value
resnet,bandpass,10,covariance,all,17,8128,ap_MI,normalized_robustness,0.9571055097016955
resnet,bandpass,10,covariance,all,17,8128,ap_STTC,absolute,0.7715121324138478
resnet,bandpass,10,covariance,all,17,8128,ap_STTC,clean_drop,0.031069239935887727
resnet,bandpass,10,covariance,all,17,8128,ap_STTC,normalized_robustness,0.961288361520419
resnet,bandpass,10,covariance,all,17,8128,ap_CD,absolute,0.7957083862479437
resnet,bandpass,10,covariance,all,17,8128,ap_CD,clean_drop,0.01769398731074212
resnet,bandpass,10,covariance,all,17,8128,ap_CD,normalized_robustness,0.9782469440870845
resnet,bandpass,10,covariance,all,17,8128,ap_HYP,absolute,0.6064896926303686
resnet,bandpass,10,covariance,all,17,8128,ap_HYP,clean_drop,0.02613132675904939
resnet,bandpass,10,covariance,all,17,8128,ap_HYP,normalized_robustness,0.9586935527604994
resnet,bandpass,10,covariance,all,17,8128,f1_NORM,absolute,0.8021857923497268
resnet,bandpass,10,covariance,all,17,8128,f1_NORM,clean_drop,0.04629905613512175
resnet,bandpass,10,covariance,all,17,8128,f1_NORM,normalized_robustness,0.9454332552682065
resnet,bandpass,10,covariance,all,17,8128,f1_MI,absolute,0.6494296577946768
resnet,bandpass,10,covariance,all,17,8128,f1_MI,clean_drop,0.02925886679548717
resnet,bandpass,10,covariance,all,17,8128,f1_MI,normalized_robustness,0.9568891093095873
resnet,bandpass,10,covariance,all,17,8128,f1_STTC,absolute,0.7046070460704607
resnet,bandpass,10,covariance,all,17,8128,f1_STTC,clean_drop,0.026089752422947976
resnet,bandpass,10,covariance,all,17,8128,f1_STTC,normalized_robustness,0.964294694492017
resnet,bandpass,10,covariance,all,17,8128,f1_CD,absolute,0.7007299270072993
resnet,bandpass,10,covariance,all,17,8128,f1_CD,clean_drop,0.0047571950531710705
resnet,bandpass,10,covariance,all,17,8128,f1_CD,normalized_robustness,0.9932568647883037
resnet,bandpass,10,covariance,all,17,8128,f1_HYP,absolute,0.5443425076452599
