model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,f1_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8273183523465301,0.04652332708412763,0.7117480010621853,0.9428887036308748
resnet,bandpass,0,electrode,all,f1_HYP,absolute,8128,training_seed_student_t_95,3,0.5140468456444913,0.004664024762989876,0.5024607658423543,0.5256329254466283
resnet,bandpass,0,electrode,all,f1_HYP,clean_drop,8128,training_seed_student_t_95,3,0.08751236150562798,0.027565605308590157,0.019035601812182668,0.1559891211990733
resnet,bandpass,0,electrode,all,f1_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8558016339051173,0.03844401286808865,0.7603014117496668,0.9513018560605678
resnet,bandpass,0,electrode,all,f1_MI,absolute,8128,training_seed_student_t_95,3,0.45852523257381766,0.009697943820203957,0.4344342046039115,0.4826162605437238
resnet,bandpass,0,electrode,all,f1_MI,clean_drop,8128,training_seed_student_t_95,3,0.22630374988193733,0.011893879156572038,0.19675771613046167,0.255849783633413
resnet,bandpass,0,electrode,all,f1_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.669621043442579,0.013723793068374367,0.635529251533595,0.703712835351563
resnet,bandpass,0,electrode,all,f1_NORM,absolute,8128,training_seed_student_t_95,3,0.35030519598823656,0.12046981975659447,0.05104157360682382,0.6495688183696493
resnet,bandpass,0,electrode,all,f1_NORM,clean_drop,8128,training_seed_student_t_95,3,0.4965275504140938,0.12165793100464421,0.19431249607568252,0.798742604752505
resnet,bandpass,0,electrode,all,f1_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.4137986961277999,0.14293656108132327,0.05872459436218047,0.7688727978934193
resnet,bandpass,0,electrode,all,f1_STTC,absolute,8128,training_seed_student_t_95,3,0.5199911072047206,0.01812512390805064,0.4749658033751425,0.5650164110342988
resnet,bandpass,0,electrode,all,f1_STTC,clean_drop,8128,training_seed_student_t_95,3,0.2265640058410843,0.03397734527115363,0.1421596011088958,0.3109684105732728
