kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,V2_ecg_0.5_40_abs_error_mv2,2158,0,1.6061451650393735e-05,2.851291734946523e-05,0.000624528871127232
bandpass,20,V2_ecg_0.5_40_relative_band_error,2158,0,0.034347999489136326,0.026032514906195636,0.17054074152103113
bandpass,20,V2_ecg_0.5_40_relative_total_error,2158,0,0.034084305226021,0.025829277094431613,0.16917272464832647
bandpass,20,V2_high_40_nyquist_reference_mv2,2158,0,1.5870505962682703e-06,2.4644775752011012e-06,4.7067216518838844e-05
bandpass,20,V2_high_40_nyquist_abs_error_mv2,2158,0,8.973077383730505e-07,1.6675408902685264e-06,3.479482240639399e-05
bandpass,20,V2_high_40_nyquist_relative_band_error,2158,0,0.7388099467099121,0.9952943187513181,12.102010703201959
bandpass,20,V2_high_40_nyquist_relative_total_error,2158,0,0.0019372700921380917,0.0016861830620599342,0.011453753511690083
bandpass,20,V3_welch_total_reference_mv2,2158,0,0.00046069834627759167,0.0006048580025701418,0.01534812768235929
bandpass,20,V3_welch_relative_l1,2158,0,0.45702533682182567,0.04000246759319805,0.6416874150959422
bandpass,20,V3_requested_reference_mv2,2158,0,0.00045713929561694777,0.0005994893768536747,0.01515661146269563
bandpass,20,V3_requested_abs_error_mv2,2158,0,1.584183843512833e-05,3.103762863273386e-05,0.0007357688919706557
bandpass,20,V3_requested_relative_band_error,2158,0,0.03451370256115003,0.026383343469346364,0.20863324370880368
bandpass,20,V3_requested_relative_total_error,2158,0,0.03424834024340409,0.026183995210373383,0.20714992772402074
bandpass,20,V3_baseline_0_0.5_reference_mv2,2158,0,1.968418606912875e-06,3.403558626017791e-06,9.784045473395268e-05
bandpass,20,V3_baseline_0_0.5_abs_error_mv2,2158,0,1.0727377100064225e-06,1.813531024910277e-06,4.265511242925184e-05
bandpass,20,V3_baseline_0_0.5_relative_band_error,2158,0,0.7703506252730424,1.0817757268435146,12.36618905064746
bandpass,20,V3_baseline_0_0.5_relative_total_error,2158,0,0.0024367740219019746,0.0021582630345752677,0.015453643828413393
bandpass,20,V3_ecg_0.5_40_reference_mv2,2158,0,0.00045713929561694777,0.0005994893768536747,0.01515661146269563
bandpass,20,V3_ecg_0.5_40_abs_error_mv2,2158,0,1.584183843512833e-05,3.103762863273386e-05,0.0007357688919706557
bandpass,20,V3_ecg_0.5_40_relative_band_error,2158,0,0.03451370256115003,0.026383343469346364,0.20863324370880368
bandpass,20,V3_ecg_0.5_40_relative_total_error,2158,0,0.03424834024340409,0.026183995210373383,0.20714992772402074
bandpass,20,V3_high_40_nyquist_reference_mv2,2158,0,1.5906320537313136e-06,2.7982530981505667e-06,9.36757649297101e-05
bandpass,20,V3_high_40_nyquist_abs_error_mv2,2158,0,8.977526181868923e-07,1.6395330645675928e-06,3.738141967569634e-05
bandpass,20,V3_high_40_nyquist_relative_band_error,2158,0,0.7171113887485207,0.9256291745857428,11.438195075398001
bandpass,20,V3_high_40_nyquist_relative_total_error,2158,0,0.0019320707425988003,0.0016314707216156506,0.01625840818311291
bandpass,20,V4_welch_total_reference_mv2,2158,0,0.00046219384469911725,0.000624563045933762,0.01666904010416239
bandpass,20,V4_welch_relative_l1,2158,0,0.45841074206717153,0.040894807054318125,0.5965236021619429
bandpass,20,V4_requested_reference_mv2,2158,0,0.0004586777412724358,0.0006206272295137836,0.016610898769040615
bandpass,20,V4_requested_abs_error_mv2,2158,0,1.590397554285479e-05,2.7109442668089902e-05,0.0004486567108621213
bandpass,20,V4_requested_relative_band_error,2158,0,0.03466062904260281,0.02567284301632254,0.1526311488262753
bandpass,20,V4_requested_relative_total_error,2158,0,0.03439216892962477,0.02546857840463855,0.15111443617179734
bandpass,20,V4_baseline_0_0.5_reference_mv2,2158,0,1.932923816556567e-06,2.5320744924095037e-06,3.567688683430898e-05
bandpass,20,V4_baseline_0_0.5_abs_error_mv2,2158,0,1.2208729836435764e-06,2.935229103101884e-06,0.00010395081121725807
bandpass,20,V4_baseline_0_0.5_relative_band_error,2158,0,0.7950468470279628,1.115580193424781,16.353548573307105
bandpass,20,V4_baseline_0_0.5_relative_total_error,2158,0,0.0025788642249669324,0.002225994660513423,0.016168943580768196
bandpass,20,V4_ecg_0.5_40_reference_mv2,2158,0,0.0004586777412724358,0.0006206272295137836,0.016610898769040615
bandpass,20,V4_ecg_0.5_40_abs_error_mv2,2158,0,1.590397554285479e-05,2.7109442668089902e-05,0.0004486567108621213
bandpass,20,V4_ecg_0.5_40_relative_band_error,2158,0,0.03466062904260281,0.02567284301632254,0.1526311488262753
bandpass,20,V4_ecg_0.5_40_relative_total_error,2158,0,0.03439216892962477,0.02546857840463855,0.15111443617179734
bandpass,20,V4_high_40_nyquist_reference_mv2,2158,0,1.5831796101242456e-06,2.493323665109841e-06,4.712951934879647e-05
bandpass,20,V4_high_40_nyquist_abs_error_mv2,2158,0,8.523865786768784e-07,1.4574383967104615e-06,2.4772132542793045e-05
bandpass,20,V4_high_40_nyquist_relative_band_error,2158,0,0.6896156017868434,0.8859281306204508,12.517418078509932
bandpass,20,V4_high_40_nyquist_relative_total_error,2158,0,0.0018805571289389924,0.0016137416145287895,0.010867025286907903
