model,kind,snr,condition,active,metric,outcome,n_noise_replays,n_fixed_training_seeds,mean,std,uncertainty
resnet,bandpass,0,electrode,all,auroc_CD,clean_drop,5,3,0.06667774607610985,0.005302445087226494,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_CD,normalized_robustness,5,3,0.9258262109953692,0.005901251893514785,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_HYP,absolute,5,3,0.8485695075208556,0.002362800867304953,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_HYP,clean_drop,5,3,0.04427977475011001,0.002362800867304949,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_HYP,normalized_robustness,5,3,0.9504153183088382,0.0026500009661219225,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_MI,absolute,5,3,0.7384092416704358,0.004205465179081788,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_MI,clean_drop,5,3,0.1520053520277401,0.0042054651790817445,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_MI,normalized_robustness,5,3,0.829108553288522,0.004732897051713769,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_NORM,absolute,5,3,0.8498431939936651,0.0021352233994207936,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_NORM,clean_drop,5,3,0.08373026528268375,0.0021352233994208244,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_NORM,normalized_robustness,5,3,0.9102898653665974,0.002285539685593741,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_STTC,absolute,5,3,0.8066906873245889,0.0026830838303429174,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_STTC,clean_drop,5,3,0.11739645146173863,0.0026830838303428957,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,auroc_STTC,normalized_robustness,5,3,0.8728796822781263,0.0029067118810033304,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,brier,absolute,5,3,0.17726427714029946,0.00036931633802177177,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,clean_agreement,absolute,5,3,0.7255545257954896,0.0010552051436437952,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ece,absolute,5,3,0.15918476368852158,0.0015080016704470687,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_CD,absolute,5,3,0.5909447308850948,0.008309979705203495,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_CD,clean_drop,5,3,0.11795837268974493,0.008309979705203481,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_CD,normalized_robustness,5,3,0.8335053879344463,0.011719545129709562,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_HYP,absolute,5,3,0.5022429356835917,0.005957104588795752,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_HYP,clean_drop,5,3,0.09931627146652769,0.0059571045887957755,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_HYP,normalized_robustness,5,3,0.8360076607017144,0.010129286647691875,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_MI,absolute,5,3,0.4622740644579043,0.004385490268315883,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_MI,clean_drop,5,3,0.22255491799785063,0.004385490268315877,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_MI,normalized_robustness,5,3,0.6752034633383919,0.006396990036519811,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_NORM,absolute,5,3,0.33802351784860335,0.008076331727273145,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_NORM,clean_drop,5,3,0.5088092285537271,0.008076331727273157,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_NORM,normalized_robustness,5,3,0.39930685427389656,0.009540048241672193,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_STTC,absolute,5,3,0.5215896265899345,0.006540472686609965,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_STTC,clean_drop,5,3,0.2249654864558705,0.006540472686609962,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,f1_STTC,normalized_robustness,5,3,0.6990448515301267,0.008712185732953725,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_ap,absolute,5,3,0.6365122935151206,0.0020997702229350597,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_ap,clean_drop,5,3,0.1495566477032125,0.00209977022293505,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_ap,normalized_robustness,5,3,0.8096799222000672,0.002672755407012925,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_auroc,absolute,5,3,0.8150167705023594,0.0005947669167901797,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_auroc,clean_drop,5,3,0.09281791791967649,0.0005947669167901624,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_auroc,normalized_robustness,5,3,0.8977474695836479,0.0006552200743095729,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_f1,absolute,5,3,0.4830149750930257,0.0013947358671575123,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_f1,clean_drop,5,3,0.23472085543274418,0.001394735867157516,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,macro_f1,normalized_robustness,5,3,0.6729546607009871,0.0019410313061800583,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,mean_confidence,absolute,5,3,0.780038591225942,0.0005713786001456978,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,mean_entropy,absolute,5,3,0.4641604656026992,0.0006406246633272022,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,mean_loss,absolute,5,3,0.5285904975628384,0.0009825517439829186,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,micro_ap,absolute,5,3,0.5113107455126552,0.0006210201783790287,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,micro_auroc,absolute,5,3,0.7345130620644655,0.001028811952178777,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,micro_f1,absolute,5,3,0.48002837638550455,0.001784523906018416,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,probability_shift,absolute,5,3,0.2200655321280161,0.000599965865204009,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_CD,absolute,5,3,0.7257745613483338,0.0034698327815927813,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_CD,clean_drop,5,3,0.08081432128708078,0.0034698327815927197,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_CD,normalized_robustness,5,3,0.899886174305721,0.004300036840145916,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_HYP,absolute,5,3,0.5647762486788084,0.006128956721204948,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_HYP,clean_drop,5,3,0.07682569230251605,0.006128956721204948,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_HYP,normalized_robustness,5,3,0.8807985687305198,0.009704190083583631,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_MI,absolute,5,3,0.5853095406089447,0.006024261006632415,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_MI,clean_drop,5,3,0.17780050825608376,0.006024261006632425,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_MI,normalized_robustness,5,3,0.7662846489004178,0.007837338562715878,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_NORM,absolute,5,3,0.8213672648276613,0.0031477530751542163,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_NORM,clean_drop,5,3,0.0856929568699852,0.0031477530751542683,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_NORM,normalized_robustness,5,3,0.9054688339131494,0.003458303004217336,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_STTC,absolute,5,3,0.6468436387965806,0.003984472519164184,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_STTC,clean_drop,5,3,0.16513997311567094,0.003984472519164197,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ap_STTC,normalized_robustness,5,3,0.7963047779983742,0.004891880436091201,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_CD,absolute,5,3,0.8440931382063326,0.001373044481831787,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_CD,clean_drop,5,3,0.05415582987202873,0.0013730444818317899,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_CD,normalized_robustness,5,3,0.9397511930981727,0.0015321903977900738,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_HYP,absolute,5,3,0.8540841305118047,0.0027331358231533973,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_HYP,clean_drop,5,3,0.03876515175916086,0.002733135823153368,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_HYP,normalized_robustness,5,3,0.9565995769269836,0.0030581095190808814,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_MI,absolute,5,3,0.7718848183325795,0.0033305721460792576,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_MI,clean_drop,5,3,0.11852977536559631,0.0033305721460792953,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_MI,normalized_robustness,5,3,0.8667372491375598,0.0037326884446911065,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_NORM,absolute,5,3,0.8708096936728698,0.001382548737447109,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_NORM,clean_drop,5,3,0.06276376560347922,0.0013825487374470825,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_NORM,normalized_robustness,5,3,0.9327565345331245,0.0014829421712959682,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_STTC,absolute,5,3,0.832856554931133,0.003662581358357452,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_STTC,clean_drop,5,3,0.09123058385519442,0.003662581358357434,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,auroc_STTC,normalized_robustness,5,3,0.901206679223016,0.003963143025999833,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,brier,absolute,5,3,0.15630451738834378,0.000593092877588082,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,clean_agreement,absolute,5,3,0.7757429718875501,0.00264114486958965,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,ece,absolute,5,3,0.13474974740205684,0.000687127141832201,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_CD,absolute,5,3,0.635151882449006,0.007393608150811758,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_CD,clean_drop,5,3,0.07375122112583388,0.007393608150811754,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_CD,normalized_robustness,5,3,0.895897564942343,0.010434789312500988,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_HYP,absolute,5,3,0.5257876900923116,0.006052483042503882,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_HYP,clean_drop,5,3,0.07577151705780774,0.0060524830425038615,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_HYP,normalized_robustness,5,3,0.8743996180174152,0.010178088924054569,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_MI,absolute,5,3,0.4915616830444874,0.0027885973697515717,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_MI,clean_drop,5,3,0.1932672994112677,0.002788597369751587,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_MI,normalized_robustness,5,3,0.7178318385094965,0.004143633877457668,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_NORM,absolute,5,3,0.5214297950051747,0.007880127198101959,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,independent,all,f1_NORM,clean_drop,5,3,0.3254029513971556,0.007880127198101994,descriptive_noise_replay_sd_after_training_seed_average_no_CI
