distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
77,resnet,bandpass,20,all,8128,17,1,absolute,independent_rms,,auroc_HYP,0.8893049247914452,0.866511565793663,0.9087985381573092,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
78,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,macro_auroc,0.9071247057886801,0.8988779810599318,0.9150613462075723,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
79,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,auroc_NORM,0.9303093106010245,0.9188132706747374,0.9408482541823747,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
80,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,auroc_MI,0.8852103120759837,0.8672648564841613,0.9019419508225599,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
81,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,auroc_STTC,0.9259752578625053,0.9133829335635171,0.938313121790795,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
82,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,auroc_CD,0.8970451942859361,0.8786075923624402,0.9147092433845049,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
83,resnet,bandpass,20,all,8128,29,1,absolute,independent_rms,,auroc_HYP,0.8970834541179502,0.8748023766533706,0.9171159363683064,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
84,resnet,bandpass,20,all,8128,43,1,absolute,independent_rms,,macro_auroc,0.9080802110145036,0.9003437524080435,0.9159870557351038,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
85,resnet,bandpass,20,all,8128,43,1,absolute,independent_rms,,auroc_NORM,0.9342179468797386,0.9236610341418543,0.9442096176772278,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
86,resnet,bandpass,20,all,8128,43,1,absolute,independent_rms,,auroc_MI,0.8969595205789236,0.8813031492127498,0.9116173260216007,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
87,resnet,bandpass,20,all,8128,43,1,absolute,independent_rms,,auroc_STTC,0.9254429419482528,0.912380371706204,0.9374317699270668,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
88,resnet,bandpass,20,all,8128,43,1,absolute,independent_rms,,auroc_CD,0.8939664124063507,0.8743633348224676,0.9120494376821812,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
