model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,mean_probability,0.003883392543605923,0.00253924226887343,0.005453334412692069,0.000999000999000999,,0.5527221225858704,91,100,1,patient,7418336753288948508,500,13337969610921927874,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.004331251978874207,0.7142857142857143,0.0035071399804849136,0.0032315157091492323
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,probability_shift,0.01851978538388575,0.016145325977837872,0.020536394907498635,0.000999000999000999,,1.6780495529160542,91,100,1,patient,10608522802707896159,500,3338126150266076355,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.015576984739728062,1.0,0.01803661520876988,0.016823363111100616
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_auroc,-0.025295904861215135,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_ap,-0.020569333121512712,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_f1,0.002824700684618986,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,loss,0.000905049714947081,-0.004975544066268745,0.006920800010285919,0.7492507492507493,1.0,0.032647065805410234,91,100,1,patient,6184024815406251430,500,11001987512580748348,1000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,-0.00045637034401613263,0.4945054945054945,0.002058213578791661,0.00028495800994126735
resnet,bandpass,10,all,electrode_minus_independent_rms,all,mean_probability,0.0004043428934925136,-0.001000218754773564,0.0016828066453250694,0.5474525474525475,,0.06153437832371841,91,100,1,patient,12218128334239192142,500,2840418360249749917,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.00026971399784088136,0.5384615384615384,0.00020856218323720132,0.00024473070139052527
resnet,bandpass,10,all,electrode_minus_independent_rms,all,probability_shift,0.0010893014095821217,-0.0007296264285496817,0.0028282403667475825,0.22477522477522477,,0.1255729855017167,91,100,1,patient,2760156794634366593,500,16591016016066044674,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.00029702484607696533,0.5164835164835165,0.0007813485453045362,0.00029145080573849834
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_auroc,0.002572478978641435,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_ap,0.006628271069657576,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_f1,0.013966797328853586,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,loss,0.00023563891637015468,-0.005594751357507872,0.0052695809696439245,0.922077922077922,1.0,0.008608414373203418,91,100,1,patient,9208538574243979733,500,12951959221913552455,1000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,-0.001949162876363042,0.46153846153846156,-0.0008365086939904907,-0.0007381138279438132
resnet,bandpass,10,all,electrode_minus_independent,all,mean_probability,0.0004970493485400143,-0.0007874302629046972,0.0018228496123584984,0.4695304695304695,,0.07705995040967038,91,100,1,patient,7223233848876666878,500,6217351856022746324,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,-0.0002391731312499701,0.4835164835164835,0.0003017486398507983,-1.6684438764027042e-05
resnet,bandpass,10,all,electrode_minus_independent,all,probability_shift,0.0008048096767426722,-0.0009312172332990292,0.0026533151042509545,0.4175824175824176,,0.09165307694186414,91,100,1,patient,12985367991377105430,500,17766916178802295746,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.00015059709548950195,0.5164835164835165,0.0005109662390349845,-2.3696875509979532e-05
resnet,bandpass,10,all,electrode_minus_independent,all,macro_auroc,0.006343993931492209,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_ap,0.008411504275651016,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_f1,0.02347190561309609,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,loss,0.0035512667004062213,-0.001936632225833897,0.009024887485196257,0.2177822177822178,1.0,0.1261472842012287,91,100,1,patient,4423198143936772438,500,5346553553899799263,1000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.0023815194093434466,0.5604395604395604,0.0025689650105987527,0.004053699543855953
resnet,bandpass,10,all,covariance_minus_electrode,all,mean_probability,0.0001370767425510561,-0.0013629606744837725,0.0013324971095241068,0.8451548451548452,,0.02120146166804446,91,100,1,patient,5848650192845772853,500,17480342550522231059,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,-0.00016693174839019784,0.4945054945054945,0.00036322619634889685,0.0003651522995915157
resnet,bandpass,10,all,covariance_minus_electrode,all,probability_shift,0.00047457871690420936,-0.0013075065851511215,0.0022632456533472497,0.6163836163836164,,0.04901417907420297,91,100,1,patient,7732355015400849042,500,4068485115933236965,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0003315865993499756,0.5274725274725275,0.000791534700306213,0.0007761106431955062
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_auroc,-0.020764060777734628,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_ap,-0.0208300768900877,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_f1,0.010799037344769113,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,loss,0.045222088777225285,0.03262335405576664,0.057935208407512075,0.000999000999000999,,0.7100366598454494,91,100,1,patient,6182868480951809085,500,3590146506909175781,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.027985670889186354,0.7692307692307693,0.04181848598938397,0.03402473254749607
resnet,bandpass,10,all,noisy_minus_clean,covariance,mean_probability,0.004665686935953444,0.0032386927878986097,0.006160047558685754,0.000999000999000999,,0.6709977256833227,91,100,1,patient,14714447112379209385,500,5617513590871676080,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.004366695880889893,0.7472527472527473,0.004358503380531131,0.0036810668453373793
resnet,bandpass,10,all,noisy_minus_clean,covariance,probability_shift,0.021507354497246105,0.019145480774195693,0.02395812349713715,0.000999000999000999,,1.8035705724030702,91,100,1,patient,8557479593177255100,500,13721382601040759471,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.019591154344379903,1.0,0.021139611311082787,0.01992951112499564
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_auroc,-0.03738478964835279,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_ap,-0.047565046817982015,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_f1,0.017658912787715975,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,loss,0.041670822076819075,0.0290375223486971,0.05435952072598356,0.000999000999000999,,0.6547664130529135,91,100,1,patient,17980101026127145131,500,18137171877711103726,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.02214448079607854,0.7582417582417582,0.03920805656548053,0.030052158190061833
resnet,bandpass,10,all,noisy_minus_clean,electrode,mean_probability,0.004528610193402388,0.0030086909773216746,0.006083325037341551,0.000999000999000999,,0.5758355188732364,91,100,1,patient,7763515610998378427,500,12670238981889800173,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.004529142379760742,0.7362637362637363,0.004116397481428744,0.003324184612237257
resnet,bandpass,10,all,noisy_minus_clean,electrode,probability_shift,0.021032775780341902,0.018571215932537945,0.023753362243110265,0.000999000999000999,,1.6014258883275057,91,100,1,patient,10977617648905230348,500,405532446439730179,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.017581909894943237,1.0,0.020456023337787507,0.019008414626481358
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_auroc,-0.016620728870618162,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_ap,-0.026734969927894314,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_f1,0.006859875442946861,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,loss,0.04143518316044892,0.02844713575389294,0.05400696015913634,0.000999000999000999,,0.6502456895691059,91,100,1,patient,15438232831473961242,500,17227347157560735744,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.019541781411375303,0.8241758241758241,0.038596106894958994,0.029147779609258656
resnet,bandpass,10,all,noisy_minus_clean,independent,mean_probability,0.004031560844862374,0.00254166032379808,0.005416679083478784,0.000999000999000999,,0.5743748219788175,91,100,1,patient,3413421446881119596,500,2859748805791113782,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0034375011920928953,0.7032967032967034,0.003750261462156817,0.0029921244013013304
resnet,bandpass,10,all,noisy_minus_clean,independent,probability_shift,0.020227966103599226,0.01782280743519765,0.022688024651519423,0.000999000999000999,,1.639513473320815,91,100,1,patient,7311423971849059937,500,10875391796516351196,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.01768909692764282,1.0,0.019653294680535394,0.018441494439597323
